Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Bottum, Rachel",FR-1,2:23.50,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Villa, Rebecca",JR-3,2:24.74,Wartburg Qualifier,"Mar 6, 2020"
,"Bottum, Rachel",FR-1,2:25.28,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Villa, Rebecca",JR-3,2:25.85,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Bottum, Rachel",FR-1,2:27.92,Darren Young Classic,"Feb 15, 2020"
,"Villa, Rebecca",JR-3,2:27.96,Darren Young Classic,"Feb 15, 2020"
,"Villa, Rebecca",JR-3,2:28.97,2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Villa, Rebecca",JR-3,2:30.88,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Bottum, Rachel",FR-1,2:31.17,Hilltop Invitational,"Jan 25, 2020"
,"LaVerdiere, Tori",SR-4,2:31.92,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Villa, Rebecca",JR-3,2:31.94,Dutch Athletic Classic 2020,"Jan 18, 2020"
,"Bottum, Rachel",FR-1,2:33.22,2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Frasca, Athena",FR-1,2:45.27,Darren Young Classic,"Feb 15, 2020"
,"Villa, Rebecca",JR-3,2:46.12,Hilltop Invitational,"Jan 25, 2020"
,"Frasca, Athena",FR-1,2:46.97,Hilltop Invitational,"Jan 25, 2020"
,"Noland, Josie",FR-1,2:47.19,Hilltop Invitational,"Jan 25, 2020"
,"Beisner, Sarah",SO-2,2:49.66,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Beisner, Sarah",SO-2,2:51.09,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Beisner, Sarah",SO-2,2:54.85,2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Davis, Addison",SO-2,2:58.34,Hilltop Invitational,"Jan 25, 2020"
,"Beisner, Sarah",SO-2,2:59.49,Hilltop Invitational,"Jan 25, 2020"
,"Smith, Abbie",FR-1,3:09.66,Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Smith, Abbie",FR-1,3:13.20,Darren Young Classic,"Feb 15, 2020"
,"Smith, Abbie",FR-1,3:13.21,2020 Grinnell Indoor Invitational,"Feb 1, 2020"
