Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Pellisslier Lloyd, Tallulah",SO-2,1.42m,"4' 7.75""",Hilltop Invitational,"Jan 25, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.40m,"4' 7""",2019 Pioneer Indoor Preview Meet,"Dec 6, 2019"
,"Pellisslier Lloyd, Tallulah",SO-2,1.38m,"4' 6.25""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.37m,"4' 6""",Hilltop Invitational,"Jan 25, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.37m,"4' 6""",Dutch Athletic Classic 2020,"Jan 18, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.35m,"4' 5""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.35m,"4' 5""",Darren Young Classic,"Feb 15, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.33m,"4' 4.25""",Liz Wuertz Indoor Invitational,"Feb 22, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.33m,"4' 4.25""",Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.32m,"4' 4""",Hilltop Invitational,"Jan 25, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.30m,"4' 3.25""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.30m,"4' 3.25""",Darren Young Classic,"Feb 15, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.25m,"4' 1.25""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,1.20m,"3' 11.25""",2020 Grinnell Indoor Invitational,"Feb 1, 2020"
