Unnamed: 0,Athlete,Year,Time,Meet,Meet Date
,"Tesar, Tali",SO-2,10.24,Darren Young Classic,"Feb 15, 2020"
,"Tesar, Tali",SO-2,10.32,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Tomczik, Kate",SO-2,10.59,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Tesar, Tali",SO-2,10.69,Hilltop Invitational,"Jan 25, 2020"
,"Tesar, Tali",SO-2,10.73,Dutch Athletic Classic 2020,"Jan 18, 2020"
,"Tesar, Tali",SO-2,10.73,2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Tesar, Tali",SO-2,10.73,Dutch Athletic Classic 2020,"Jan 18, 2020"
,"Tesar, Tali",SO-2,10.79,Hilltop Invitational,"Jan 25, 2020"
,"Tesar, Tali",SO-2,10.98,2019 Pioneer Indoor Preview Meet,"Dec 6, 2019"
,"Pellisslier Lloyd, Tallulah",SO-2,11.19,Midwest Conference Indoor Track & Field Championship,"Feb 28, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,11.71,2020 Grinnell Indoor Invitational,"Feb 1, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,11.71,Dutch Athletic Classic 2020,"Jan 18, 2020"
,"Pellisslier Lloyd, Tallulah",SO-2,11.82,Hilltop Invitational,"Jan 25, 2020"
