0,1,2,3,4,5,6
Grinnell College,318,300,288,906,54,6th
Thornton Walker,77,77,71,225,12,26th
Colin Byrnes,80,73,74,227,14,t-28th
Eshaan Sethi,77,73,79,229,16,31st
Luke McCann,84,78,73,235,22,40th
Ian Strawn,89,77,70,236,23,t-41st
