0,1,2,3
Grinnell College,321,33,2nd
Thornton Walker,77,5,3rd
Eshaan Sethi,81,9,t-5th
Ian Strawn,81,9,t-5th
Colin Byrnes,82,10,t-7th
Luke McCann,92,20,14th
