0,1,2,3
Grinnell College,286,+6,1st
Thornton Walker,70,E,t-1st
Luke McCann,71,+1,t-3rd
Hayden Somach,72,+2,5th
Eshaan Sethi,73,+3,t-6th
Ian Strawn,75,+5,10th
Colin Byrnes#,77,+7,14th
David Wu#,79,+9,15th
John Robinson#,84,+14,17th
