Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Goldman, Elsa",SO-2,3.05m,"10' 0""",Walt Disney World Invitational,"Mar 22, 2013"
,"Carlson, Athena",SO-2,2.92m,"9' 7""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Carlson, Athena",SO-2,2.92m,"9' 7""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Goldman, Elsa",SO-2,2.92m,"9' 7""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Goldman, Elsa",SO-2,2.90m,"9' 6.25""",2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Carlson, Athena",SO-2,2.90m,"9' 6.25""",2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Goldman, Elsa",SO-2,2.90m,"9' 6.25""",Cornell College Invitational,"Apr 6, 2013"
,"Goldman, Elsa",SO-2,2.90m,"9' 6.25""",Walt Disney World Invitational,"Mar 22, 2013"
,"Goldman, Elsa",SO-2,2.89m,"9' 5.75""",Kip Janvrin Open,"Apr 25, 2013"
,"Carlson, Athena",SO-2,2.77m,"9' 1""",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,"Carlson, Athena",SO-2,2.77m,"9' 1""",2013 Monmouth Fighting Scots,"May 4, 2013"
,"Goldman, Elsa",SO-2,2.75m,"9' 0.25""",Cornell College Invitational,"Apr 6, 2013"
,"Carlson, Athena",SO-2,2.75m,"9' 0.25""",Central College Open,"Apr 20, 2013"
,"Carlson, Athena",SO-2,2.75m,"9' 0.25""",Cornell College Invitational,"Apr 6, 2013"
,"Goldman, Elsa",SO-2,2.75m,"9' 0.25""",Walt Disney World Invitational,"Mar 22, 2013"
,"Carlson, Athena",SO-2,2.75m,"9' 0.25""",2013 Jim Duncan Invitational,"Apr 12, 2013"
,"Carlson, Athena",SO-2,2.60m,"8' 6.25""",Cornell College Invitational,"Apr 6, 2013"
