Unnamed: 0,Time,Athletes,Meet,Meet Date
,52.95,"Clennon, Goldman, Jensen, Bresette-Buccin",2013 Monmouth Fighting Scots,"May 4, 2013"
,53.02,"Clennon, Goldman, Jensen, Bresette-Buccin",Midwest Conference Outdoor Track & Field Championships,"May 10, 2013"
,53.25,"Clennon, Goldman, Miller, Miller",2013 Jim Duncan Invitational,"Apr 12, 2013"
