Unnamed: 0,Athlete,Year,Mark,Conv,Meet,Meet Date
,"Lukoseviciute, Agne",SO-2,16.18m,"53' 1""",Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Lukoseviciute, Agne",SO-2,16.05m,"52' 8""",Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Lukoseviciute, Agne",SO-2,15.89m,"52' 1.75""",2019 Darren Young Indoor Invitational,"Feb 9, 2019"
,"Lukoseviciute, Agne",SO-2,15.82m,"51' 11""",Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Lukoseviciute, Agne",SO-2,15.69m,"51' 5.75""",Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Lukoseviciute, Agne",SO-2,15.52m,"50' 11""",Midwest Conference Indoor Championships,"Feb 22, 2019"
,"Lukoseviciute, Agne",SO-2,15.21m,"49' 11""",Wartburg Indoor Invite,"Feb 16, 2019"
,"Lukoseviciute, Agne",SO-2,15.02m,"49' 3.5""",Wartburg Indoor Invite,"Feb 16, 2019"
,"Lukoseviciute, Agne",SO-2,14.99m,"49' 2.25""",Luther Alumni Meet,"Feb 2, 2019"
,"Lukoseviciute, Agne",SO-2,14.96m,"49' 1""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Lukoseviciute, Agne",SO-2,14.73m,"48' 4""",Luther Alumni Meet,"Feb 2, 2019"
,"Lukoseviciute, Agne",SO-2,14.64m,"48' 0.5""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Lukoseviciute, Agne",SO-2,14.55m,"47' 9""",Hilltop Invitational,"Jan 19, 2019"
,"Lukoseviciute, Agne",SO-2,14.53m,"47' 8""",2019 Grinnell Indoor Invitational,"Jan 26, 2019"
,"Lukoseviciute, Agne",SO-2,14.52m,"47' 7.75""",Luther Alumni Meet,"Feb 2, 2019"
,"Lukoseviciute, Agne",SO-2,14.42m,"47' 3.75""",Hilltop Invitational,"Jan 19, 2019"
,"Lukoseviciute, Agne",SO-2,14.18m,"46' 6.25""",Luther Alumni Meet,"Feb 2, 2019"
,"Lukoseviciute, Agne",SO-2,14.17m,"46' 6""",Hilltop Invitational,"Jan 19, 2019"
,"Lukoseviciute, Agne",SO-2,14.02m,"46' 0""",Hilltop Invitational,"Jan 19, 2019"
,"Lukoseviciute, Agne",SO-2,13.86m,"45' 5.75""",Hilltop Invitational,"Jan 19, 2019"
,"Lukoseviciute, Agne",SO-2,13.37m,"43' 10.5""",Hilltop Invitational,"Jan 19, 2019"
