0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2020-21,9,738,-,-,161,81,79,-,5,-,1,4,96-23,.807,82.0
2021-22,12,924,-,-,144,76,70,3,7,1,2,4,323-80,.801,77.0
2022-23,11,864,-,234,153,-,74,-,5,-,2,2,343-89,.794,78.5
Totals,32,2526,-,234,144,76,70,3,17,1,5,10,762-192,.799,78.9
