0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
,,,Low Tournaments,Low Tournaments,Low Tournaments,Low Tournaments,Low,Par/-,Finish Top,Finish Top,Finish Top,Finish Top,,,
Season,Rounds,Strokes,72-holes,54-holes,36-holes,18-holes,Round,Rounds,Events,1,5,10,W-L,W-L%,Average
2020-21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2021-22,12,932,-,-,148,81,72,1,7,-,4,5,315-88,.782,77.7
2022-23,15,1176,-,226,149,-,74,-,7,-,3,3,449-97,.822,78.4
Totals,27,2108,-,226,148,81,72,1,14,-,7,8,764-185,.805,78.1
