""
IMAGE,NO.,NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Hannah Malicky,GK,5-6,Fr.,"Mequon, Wis. / Homestead"
,1,Elizabeth Hunt,GK,6-0,So.,"Birmingham, Ala. / Indian Springs School"
,2,Simo Bambi,F,5-3,Jr.,"Madison, Wis. / West"
,3,Madeleine Dellinger,F,5-5,Fr.,"Boulder, Colo. / Fairview"
,4,Alyssa Radakovich,F,5-4,So.,"Oswego, Ill. / Oswego"
,5,Celeste Kaspar,D,5-7,So.,"Madison, Wis. / West"
,6,Juliet Torres,M,5-2,Sr.,"Oak Lawn, Ill. / Oak Lawn Community"
,7,Valencia Alvarez,F,5-3,Jr.,"Yucaipa, Calif. / Yucaipa"
,8,Quinn Berleman-Paul,F,5-6,So.,"Oak Park, Ill. / Oak Park River Forest"
,9,Eliza Bunnell,D,5-3,Sr.,"Concord, N.H. / Concord"
,10,Crys Moosman,F,5-6,So.,"Driggs, Idaho / Teton"
,11,Lauren Ellingsberg,F,5-6,Fr.,"Tucson, Ariz. / University High"
,12,Elyse Salpekar,F,5-4,Sr.,"Takoma Park, Md. / Montgomery Blair"
,13,Abigail Hellweg,D,5-10,Sr.,"Cedar Rapids, Iowa / Kennedy"
,14,Regan Kasprak,D,5-6,Sr.,"Winfield, Ill. / Saint Francis Preparatory"
,15,Gwen Holtzman,M,5-7,Sr.,"Las Cruces, N.M. / Las Cruces"
,16,Jordan Maddaus,F,5-8,Sr.,"Minneapolis, Minn. / Benilde-Saint Margarets"
,17,Hope Nowak,D,5-4,Fr.,"Oak Park, Ill. / Oak Park River Forest"
,18,Anna Engelhardt,D,5-4,So.,"St. Paul, Minn. / Highland Park"
,19,Issy Schwiebert,D,5-5,So.,"Birmingham, Ala. / Indian Springs School"
,20,Emma Stefanacci,D,5-7,Fr.,"Denver, Colo. / George Washington"
,21,Cally Carr,D,5-6,So.,"New York, N.Y. / St. Ann's School"
,22,Esmé Kayim-Yanko,M,5-4,So.,"Minneapolis, Minn. / Great River School"
,23,Michellie Thurman,M,5-10,Sr.,"Colorado Springs, Colo. / Air Academy"
,24,Lauren Edwards,D,5-7,Jr.,"Lincoln, Calif. / Lincoln"
,26,Jaden Neal,D,5-5,Fr.,"Minnetonka, Minn. / Minnetonka"
,27,Halle Remash,M,5-5,Jr.,"Seattle, Wash. / Roosevelt"
,DL,Marli Remash,M,5-5,Jr.,"Seattle, Wash. / Roosevelt"
,DL,Haley Reynolds,F,5-6,So.,"Downers Grove, Ill. / Downers Grove North"
