""
IMAGE,NO.,NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,1,Polly Carr,GK,5-8,Jr.,"New York, N.Y. / Beacon School"
,2,Simo Bambi,F,5-3,Fr.,"Madison, Wis. / West"
,3,Lauren Hurley,M,5-5,Jr.,"Homewood, Ill. / Homewood-Flossmoor"
,4,Carolyn Silverman,F,5-2,Sr.,"Bettendorf, Iowa / Bettendorf"
,5,Hannah Truesdale,F,5-4,Sr.,"Longmont, Colo. / Skyline"
,6,Juliet Torres,M,5-1,So.,"Oak Lawn, Ill. / Oak Lawn Community"
,7,Valencia Alvarez,F,5-3,Fr.,"Yucaipa, Calif. / Yucaipa"
,8,Sasha Baumann,M,5-8,Sr.,"Madison, Wis. / West"
,9,Nora Sahel,M,5-3,Sr.,"Madison, Wis. / Madison East"
,10,Shaina Zarkin-Scott,F,5-5,Jr.,"Portland, Ore. / Lincoln"
,11,Annika Helverson,D,5-9,Jr.,"Los Angeles, Calif. / Sherman Oaks Center"
,12,Elyse Salpekar,M,5-4,So.,"Takoma Park, Md. / Montgomery Blair"
,13,Abigail Hellweg,D,5-10,So.,"Cedar Rapids, Iowa / Kennedy"
,14,Francesca Varias,M,5-8,Jr.,"Chicago, Ill. / Jones College Prep"
,15,Gwen Holtzman,M,5-7,So.,"Las Cruces, N.M. / Las Cruces"
,16,Jordan Maddaus,M,5-7,So.,"Minneapolis, Minn. / Benilde-Saint Margarets"
,17,LilyRose Weiss,M,5-4,Jr.,"Brooklyn, N.Y. / Berkeley Carroll School"
,18,Regan Kasprak,M,5-6,So.,"Winfield, Ill. / Saint Francis Preparatory"
,19,Sangjun Hornewer,M,5-4,Fr.,"Gurnee, Ill. / Warren Township"
,20,Kitt Richards,F,5-8,Jr.,"Appleton, Wis. / North"
,21,Eliza Bunnell,D,5-3,So.,"Concord, N.H. / Concord"
,23,Michellie Thurman,M,5-10,So.,"Colorado Springs, Colo. / Air Academy"
,24,Lauren Edwards,D,5-5,Fr.,"Lincoln, Calif. / Lincoln"
,25,Marli Remash,M,5-5,Fr.,"Seattle, Wash. / Roosevelt"
,26,Lila Cardozo,D,5-3,So.,"New York, N.Y. / Millenium"
,27,Halle Remash,M,5-5,Fr.,"Seattle, Wash. / Roosevelt"
