""
IMAGE,NO.,NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Elizabeth Hunt,GK,6-0,Fr.,"Birmingham, Ala. / Indian Springs School"
,1,Regan Kasprak,GK/M,5-6,Jr.,"Winfield, Ill. / Saint Francis Preparatory"
,2,Simo Bambi,F,5-3,So.,"Madison, Wis. / West"
,3,Lauren Hurley,M,5-5,Sr.,"Homewood, Ill. / Homewood-Flossmoor"
,4,Alyssa Radakovich,F,5-4,Fr.,"Oswego, Ill. / Oswego"
,5,Celeste Kaspar,D,5-7,Fr.,"Madison, Wis. / West"
,6,Juliet Torres,M,5-2,Jr.,"Oak Lawn, Ill. / Oak Lawn Community"
,7,Valencia Alvarez,F,5-3,So.,"Yucaipa, Calif. / Yucaipa"
,8,Quinn Berleman-Paul,M,5-6,Fr.,"Oak Park, Ill. / Oak Park River Forest"
,9,Haley Reynolds,F,5-6,Fr.,"Downers Grove, Ill. / Downers Grove North"
,10,Shaina Zarkin-Scott,F,5-5,Sr.,"Portland, Ore. / Lincoln"
,11,Annika Helverson,D,5-9,Sr.,"Los Angeles, Calif. / Sherman Oaks Center"
,12,Elyse Salpekar,M,5-4,Jr.,"Takoma Park, Md. / Montgomery Blair"
,13,Abigail Hellweg,D,5-10,Jr.,"Cedar Rapids, Iowa / Kennedy"
,14,Francesca Varias,M,5-8,Sr.,"Chicago, Ill. / Jones College Prep"
,15,Gwen Holtzman,M,5-7,Jr.,"Las Cruces, N.M. / Las Cruces"
,16,Jordan Maddaus,M,5-8,Jr.,"Minneapolis, Minn. / Benilde-Saint Margarets"
,17,LilyRose Weiss,M,5-4,Sr.,"Brooklyn, N.Y. / Berkeley Carroll School"
,18,Anna Engelhardt,D,5-4,Fr.,"St. Paul, Minn. / Highland Park"
,19,Issy Schwiebert,D,5-5,Fr.,"Birmingham, Ala. / Indian Springs School"
,20,Kitt Richards,F,5-8,Sr.,"Appleton, Wis. / North"
,21,Cally Carr,D,5-6,Fr.,"New York, N.Y. / St. Ann's School"
,22,Esmé Kayim-Yanko,M,5-4,Fr.,"Minneapolis, Minn. / Great River School"
,23,Michellie Thurman,M,5-10,Jr.,"Colorado Springs, Colo. / Air Academy"
,24,Lauren Edwards,D,5-7,So.,"Lincoln, Calif. / Lincoln"
,25,Marli Remash,M,5-5,So.,"Seattle, Wash. / Roosevelt"
,26,Eliza Bunnell,D,5-3,Jr.,"Concord, N.H. / Concord"
,27,Halle Remash,M,5-5,So.,"Seattle, Wash. / Roosevelt"
