""
IMAGE,NO.,NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Hannah Malicky,GK,5-6,Jr.,"Mequon, Wis. / Homestead"
,1,Elizabeth Hunt,GK,6-0,Sr.,"Birmingham, Ala. / Indian Springs School"
,3,Madeleine Dellinger,F,5-5,Jr.,"Boulder, Colo. / Fairview"
,4,Alyssa Radakovich,F,5-4,Sr.,"Oswego, Ill. / Oswego"
,5,Celeste Kaspar,D,5-7,Sr.,"Madison, Wis. / West"
,6,Samantha Reid,M,5-5,So.,"Seattle, Wash. / Nathan Hale"
,8,Quinn Berleman-Paul,F,5-6,Sr.,"Oak Park, Ill. / Oak Park River Forest"
,9,Haley Reynolds,F,5-6,Sr.,"Downers Grove, Ill. / Downers Grove North"
,10,Crys Moosman,F,5-6,Sr.,"Driggs, Idaho / Teton"
,11,Lauren Ellingsberg,F,5-6,Jr.,"Tucson, Ariz. / University High"
,12,Ella Hennager,M,5-5,So.,"Iowa City, Iowa / City High"
,13,Maeve Tanona,F,5-9,So.,"Manhattan, Kan. / Manhattan"
,14,Julia Sheehan-Klenk,M,5-3,So.,"Madison, Wis. / West"
,15,Jill Paladino,M,5-9,So.,"Downers Grove, Ill. / Downers Grove South"
,16,Bailey McElligott,M,5-4,So.,"New York, N.Y. / Eleanor Roosevelt"
,17,Hope Nowak,D,5-4,Jr.,"Oak Park, Ill. / Oak Park River Forest"
,18,Anna Engelhardt,D,5-4,Sr.,"St. Paul, Minn. / Highland Park"
,19,Issy Schwiebert,D,5-5,Sr.,"Birmingham, Ala. / Indian Springs School"
,20,Emma Stefanacci,D,5-7,Jr.,"Denver, Colo. / George Washington"
,21,Cally Carr,D,5-6,Sr.,"New York, N.Y. / St. Ann's School"
,22,Esmé Kayim-Yanko,M,5-4,Sr.,"Minneapolis, Minn. / Great River School"
,23,Antarah Chopra,D,5-9,So.,"Burlingame, Calif. / Castilleja School"
,26,Jaden Neal,D,5-5,Jr.,"Minnetonka, Minn. / Minnetonka"
,30,Elinor Arneson,GK,5-6,So.,"Minneapolis, Minn. / Washburn"
,,Maddie Beltramo,,-,Fr.,"Schenectady, N.Y. / Niskayuna"
,,Tali Berk,,-,Fr.,"Brooklyn, N.Y. / LaGuardia High School of Music and Art"
,,Francesca Dalla Betta,,-,So.,"Boulder, Colo. / Fairview"
,,Carlie Duus,,-,Fr.,"Kansas City, Mo. / St. Teresa's Academy"
,,Jane March,,-,Fr.,"Wellesley Hills, Mass. / Newton Country Day School"
,,Cecilia Morelli,,-,Fr.,"Las Vegas, Nev. / Spring Valley"
,,Sadie Staker,,-,Fr.,"Marion, Iowa / Linn-Mar"
,,Megan Szalay,,-,Fr.,"Urbandale, Iowa / West Des Moines Dowling Catholic"
,,Allison Wehrman,,-,Fr.,"Roseville, Minn. / Roseville Area"
