""
IMAGE,NO.,NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Peyton Dixon,GK,5-5,Fr.,"Spokane, Wash. / Gonzaga Preparatory School"
,1,Juniper Schwartzman,GK,5-11,Fr.,"Galesburg, Ill. / Galesburg"
,2,Allison Wehrman,M,5-6,Sr.,"Roseville, Minn. / Roseville Area"
,3,Sarah Travis,D,5-5,Fr.,"Colorado Springs, Colo. / Cheyenne Mountain"
,5,Maddie Beltramo,D,5-6,Jr.,"Schenectady, N.Y. / Niskayuna"
,6,Ella Hunt,D,5-10,So.,"Seattle, Wash. / James A. Garfield"
,7,Keiko Smith,F,5-6,Jr.,"Williamstown, Mass. / Hotchkiss School"
,8,Beya VanRheenen,D,5-7,So.,"Wayne, Pa. / Conestoga"
,9,Julia Marlin,D,5-7,Fr.,"Colorado Springs, Colorado / Discovery Canyon Campus School"
,10,Carlie Duus,F,5-3,Sr.,"Kansas City, Mo. / St. Teresa's Academy"
,11,Kate Nakamura,M,5-1,So.,"Honolulu, Hawaii / Mid Pacific Institute"
,13,Gia Sundaram,D,5-9,Jr.,"Pune, India / Millfield School Ltd."
,16,Tessa Leahy,D,5-2,Jr.,"Fayetteville, Ark. / Fayetteville"
,17,Tori Thomas,F,5-3,Jr.,"Crystal, Minn. / Robbinsdale Armstrong"
,18,Katie Carson,D,5-3,Jr.,"Arvada, Colo. / Arvada West"
,19,Rama Joshi,F,5-7,Fr.,"Brookfield, Conn. / American School Dubai"
,20,Jane March,D,5-4,Sr.,"Wellesley Hills, Mass. / Newton Country Day School"
,21,Reese Komsthoeft,M,5-3,Jr.,"La Grange, Ill. / Lyons Township North"
,22,Ramona Delborne,F,5-6,So.,"Raleigh, N.C. / William G. Enloe"
,23,Meilynn Smith,D,5-5,Fr.,"Vancouver, Wash. / Columbia River"
,24,Giada Bambi,M,5-7,Jr.,"Madison, Wis. / West"
,25,Tali Berk,F,5-6,Sr.,"Brooklyn, N.Y. / LaGuardia High School of Music and Art"
,26,Amelia Dueñas,M,5-1,So.,"Quito, Ecuador / U.S. Embassy Quito"
,27,Elsa Nielsen,M,5-5,Fr.,"Chicago, Ill. / University of Chicago Lab School"
