""
IMAGE,NO.,NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Peyton Dixon,GK,5-5,So.,"Spokane, Wash. / Gonzaga Preparatory School"
,1,Grayson Allison,GK,5-6,Fr.,"Crawford, Texas / Crawford"
,2,Zoe Kunzman,D,5-4,Fr.,"Bloomington, Ind. / Bloomington South"
,3,Sarah Travis,D,5-5,So.,"Colorado Springs, Colo. / Cheyenne Mountain"
,5,Maddie Beltramo,D,5-6,Sr.,"Schenectady, N.Y. / Niskayuna"
,6,Ella Hunt,D,5-10,Jr.,"Seattle, Wash. / James A. Garfield"
,7,Keiko Smith,F,5-6,Sr.,"Williamstown, Mass. / Hotchkiss School"
,8,Beya VanRheenen,D,5-7,Jr.,"Wayne, Pa. / Conestoga"
,10,Maya Marquardt,M,5-5,Fr.,"Iowa City, Iowa / Liberty"
,12,Campbell Swaim,M,5-3,Fr.,"West Linn, Ore. / Catlin Gabel School"
,13,Gia Sundaram,D,5-9,Sr.,"Pune, India / Millfield School Ltd."
,14,Anna Curtin,D,5-6,Fr.,"Duxbury, Mass. / Duxbury"
,15,Julia Stebbins,,-,Fr.,"Newtown, Pa. / George School"
,16,Tessa Leahy,D,5-2,Sr.,"Fayetteville, Ark. / Fayetteville"
,17,Tori Thomas,F,5-3,Sr.,"Crystal, Minn. / Robbinsdale Armstrong"
,18,Katie Carson,D,5-3,Sr.,"Arvada, Colo. / Arvada West"
,19,Rama Joshi,F,5-7,So.,"Brookfield, Conn. / American School Dubai"
,20,Maya Mozena,F,6-0,Fr.,"Iowa City, Iowa / West"
,21,Reese Komsthoeft,M,5-3,Sr.,"La Grange, Ill. / Lyons Township North"
,22,Ramona Delborne,F,5-6,Jr.,"Raleigh, N.C. / William G. Enloe"
,24,Giada Bambi,M,5-7,Sr.,"Madison, Wis. / West"
,25,Emily Roesler,F,5-3,Fr.,"Naperville, Ill. / Naperville North"
,26,Amelia Dueñas,M,5-1,Jr.,"Quito, Ecuador / U.S. Embassy Quito"
,27,Elsa Nielsen,M,5-5,So.,"Chicago, Ill. / University of Chicago Lab School"
