""
IMAGE,NO.,NAME,POS.,HT.,YR.,HOMETOWN / HIGH SCHOOL
,0,Jordan Young,GK,5-6,So.,"Maplewood, Minn. / North"
,2,Lauren Horn,D,5-3,Sr.,"Middleton, Wis. / Middleton"
,3,Patty Murphy-Geiss,F,5-4,So.,"Centennial, Colo. / Smoky Hill"
,4,Mary Ulseth,D,5-6,Jr.,"Minneapolis, Minn. / South"
,5,Rachel Weinstein,F/M,5-4,Jr.,"Northbrook, Ill. / Glenbrook North"
,6,Eden Marek,D,5-7,Fr.,"Ames, Iowa / Ames"
,7,Alison Bayly,M,5-6,Fr.,"St. Louis, Mo. / Clayton"
,8,MacKenzie Shanahan,M,5-3,So.,"Hull, Mass. / Hull"
,9,Rachael Koester,F,5-6,Jr.,"Carmel, Ind. / Cathedral"
,10,Cynthia Dominguez,F,5-4,Sr.,"St. Charles, Ill. / St. Charles East"
,11,Kathryn Hardy,D,5-6,Jr.,"Sarasota, Fla. / Riverview"
,12,Sarah Jensen,F,5-6,Fr.,"Plymouth, Minn. / Wayzata"
,13,Becca Carter,D/M,5-6,Sr.,"Springfield, Mo. / Central"
,14,Pauline Zheng,F,5-5,So.,"Juneau, Alaska / Juneau-Douglas"
,15,Abby Jaeger,F,5-5,So.,"Omaha, Neb. / Westside"
,16,Nicole Sipfle,D/M,5-6,Jr.,"West Des Moines, Iowa / Valley"
,17,Kathryn Vincent,M/F,5-7,Jr.,"Plymouth, Minn. / Blake School"
,18,Julia Sauerhaft,F,5-6,Fr.,"Los Altos, Calif. / Los Altos"
,19,Hannah Safter,M/F,5-8,So.,"/ Brooklyn, N.Y."
,20,Morgan Sullivan,D,5-7,Fr.,"Cross Plains, Wis. / Middleton"
,21,Kirsten Louthan,M,5-7,Sr.,"Corvallis, Ore. / Corvallis"
,22,Elle Silverman,D/M,5-4,Fr.,"Falls Church, Va. / George Mason"
,23,Brittany Hubler,D,5-5,Fr.,"Anamosa, Iowa / Anamosa"
,24,Heather Kubicek,F,5-9,Sr.,"Madison, Wis. / Madison East"
,25,Samantha Bates,D,5-7,Sr.,"San Carlos, Calif. / Notre Dame"
,26,Amanda Hodo,D,5-6,So.,"Chicago, Ill. / Jones College Prep"
,27,Katie Fenster,D,5-5,So.,"University Park, Md. / Eleanor Roosevelt"
,30,Devon Manley,GK,5-4,Fr.,"Plymouth, Minn. / Wayzata"
,,Sonia Barrad,D,5-6,Fr.,"Thousand Oaks, Calif. / Westlake"
,,Amy Flores,F,5-3,Fr.,"Rockville, Md. / Rockville"
,,Allison Moore,F,5-6,Jr.,"Birmingham, Ala. / Indian Springs"
