Stat,Value,Player/Opponent
Rushes,15.0,Jacob Bernholtz vs Ripon College (10/19/2013)
,15.0,Sam Poulos vs Carleton College (9/7/2013)
,15.0,Sam Poulos vs Illinois College (9/14/2013)
Yards Rushing,157.0,Jacob Bernholtz vs Beloit College (9/28/2013)
TD Rushes,2.0,Jacob Bernholtz vs Beloit College (9/28/2013)
,2.0,Jacob Bernholtz vs Ripon College (10/19/2013)
Long Rush,65.0,Jacob Bernholtz vs Beloit College (9/28/2013)
Pass Attempts,59.0,Sam Poulos vs Carleton College (9/7/2013)
Pass Completions,36.0,Sam Poulos vs Carleton College (9/7/2013)
Yards Passing,363.0,Sam Poulos vs Lawrence University (11/2/2013)
TD Passes,2.0,TJ Goetz vs Beloit College (9/28/2013)
,2.0,Sam Poulos vs Ripon College (10/19/2013)
,2.0,Sam Poulos vs Lawrence University (11/2/2013)
Longest Pass,75.0,Sam Poulos vs Lawrence University (11/2/2013)
Receptions,12.0,Jacob Meixler vs Carleton College (9/7/2013)
Yards Receiving,203.0,Jacob Meixler vs Lawrence University (11/2/2013)
TD Receptions,1.0,Jake O'Polka vs Beloit College (9/28/2013)
,1.0,Jayson Campos vs Beloit College (9/28/2013)
,1.0,Jacob Meixler vs Ripon College (10/19/2013)
,1.0,Jake O'Polka vs Ripon College (10/19/2013)
,1.0,Greg Ruzich vs Carleton College (9/7/2013)
,1.0,Jacob Meixler vs Lawrence University (11/2/2013)
,1.0,Jake O'Polka vs Lawrence University (11/2/2013)
Longest Reception,75.0,Jacob Meixler vs Lawrence University (11/2/2013)
Field Goals,2.0,Graham Fisher vs Illinois College (9/14/2013)
Longest Field Goal,45.0,Graham Fisher vs Illinois College (9/14/2013)
Punts,10.0,Graham Fisher vs Illinois College (9/14/2013)
Longest Punt,58.0,Graham Fisher vs Illinois College (9/14/2013)
Longest Punt Return,15.0,Kevin Hwang vs Ripon College (10/19/2013)
,15.0,Kevin Hwang vs Lake Forest College (9/21/2013)
Longest Kickoff Return,57.0,Andrew Clark vs Carroll University (10/26/2013)
Tackles,21.0,David Ternes vs Ripon College (10/19/2013)
Tackles For Loss,3.5,Terrel Jones vs Lake Forest College (9/21/2013)
,3.5,Daniel Ryerson vs St. Norbert College (11/9/2013)
Interceptions,2.0,Kevin Hwang vs Carroll University (10/26/2013)
