Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/7/2013,Carleton College,34,42,0,12,36,334,1,33,334,1,33,4,85,0,28,2,0,0,5
9/14/2013,Illinois College,37,48,1,15,24,237,0,27,237,0,27,5,77,0,22,1,8,0,8
9/21/2013,Lake Forest College,22,0,1,12,16,105,0,12,105,0,12,4,81,0,23,3,22,0,15
9/28/2013,Beloit College,31,183,2,65,14,179,2,63,179,2,63,4,83,0,29,3,18,0,13
10/12/2013,Monmouth College,30,40,0,11,18,134,0,20,134,0,20,11,222,0,35,0,0,0,0
10/19/2013,Ripon College,34,34,2,8,19,271,2,42,271,2,42,5,86,0,28,1,15,0,15
10/26/2013,Carroll University,31,27,0,15,11,125,0,37,125,0,37,6,142,0,57,1,4,0,4
11/2/2013,Lawrence University,19,14,1,12,20,363,2,75,363,2,75,2,48,0,31,2,13,0,7
11/9/2013,St. Norbert College,31,-13,0,18,20,159,0,19,159,0,19,6,114,0,26,2,35,0,10
11/16/2013,Cornell College,34,8,0,6,20,203,0,24,203,0,24,4,46,0,22,0,0,0,0
