Opponent,Score,First Downs,First Downs,First Downs,First Downs,Rushing,Passing,Passing,Plays-Yards,Return Yards,Turnovers
Opponent,Score,Total,Rush,Pass,Pen,Att-Yards,Comp-Att-Int,Yards,Plays-Yards,Return Yards,Turnovers
Carleton College,10-29,27/21,2/8,21/12,4/1,34-42 / 42-158,36-60-2 / 17-25-1,334/343,94-376 / 67-501,103/21,4/2
Illinois College,13-42,21/28,4/10,13/17,4/1,37-48 / 37-171,24-41-1 / 29-50-0,237/441,78-285 / 87-612,85/72,1/0
Lake Forest College,7-15,8/18,2/8,3/8,3/2,22-0 / 41-78,16-36-4 / 20-46-4,105/196,58-105 / 87-274,134/91,6/4
Beloit College,42-17,15/17,3/13,8/4,4/0,31-183 / 59-232,14-28-0 / 4-18-2,179/67,59-362 / 77-299,141/135,1/6
Monmouth College,3-65,11/25,4/15,7/10,0/0,30-40 / 41-295,18-34-2 / 21-24-1,134/320,64-174 / 65-615,222/123,2/2
Ripon College,33-27,14/24,1/14,11/8,2/2,34-34 / 63-294,19-30-0 / 15-26-2,271/156,64-305 / 89-450,105/114,1/4
Carroll University,37-0,9/24,2/17,6/7,1/0,31-27 / 64-312,11-28-1 / 11-21-2,125/116,59-152 / 85-428,159/145,2/2
Lawrence University,21-24,15/25,1/8,12/17,2/0,19-14 / 37-176,20-40-0 / 32-50-2,363/337,59-377 / 87-513,95/93,0/3
St. Norbert College,0-23,12/10,2/5,9/3,1/2,31--13 / 37-116,20-47-5 / 10-23-2,159/69,78-146 / 60-185,186/153,7/4
Cornell College,45-0,13/24,3/15,10/7,0/2,34-8 / 52-361,20-38-5 / 18-29-2,203/129,72-211 / 81-490,63/97,5/2
