#,Player,NO,YDS,AVG,Long,TB,FC,I20,50+,BLK,Bio Link
12.0,"Fisher, Graham 12 Fisher, Graham",70,2514,35.91,58,2,20,15,4,2,View Bio
7.0,"Poulos, Sam 7 Poulos, Sam",2,82,41.0,48,0,0,2,0,0,View Bio
,Team  Team,2,1,0.5,1,0,0,0,0,0,
,Total,74,2597,35.09,58,2,20,17,4,2,
,Opponents,43,1625,37.79,61,4,9,13,4,1,
