Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/7/2013,Carleton College,5,190,38.0,53,0,0,1,1,1,1-2,33.0,0,6,365,60.83,2,0
9/14/2013,Illinois College,6,236,39.3,46,0,0,1,0,1,0-0,,0,7,286,40.86,0,0
9/21/2013,Lake Forest College,8,276,34.5,40,0,0,4,0,1,2-3,35.0,0,4,216,54.0,0,0
9/28/2013,Beloit College,4,168,42.0,51,0,0,0,1,1,1-1,34.0,0,4,224,56.0,0,0
10/12/2013,Monmouth College,0,0,0.0,0,0,0,0,0,0,1-1,34.0,0,11,621,56.45,0,0
10/19/2013,Ripon College,4,150,37.5,49,0,0,0,0,2,0-0,,0,4,204,51.0,0,0
10/26/2013,Carroll University,4,138,34.5,44,0,2,0,0,1,0-0,,0,6,344,57.33,0,0
11/2/2013,Lawrence University,2,77,38.5,39,0,0,0,0,1,0-0,,0,3,140,46.67,0,0
11/9/2013,St. Norbert College,7,243,20.25,52,1,0,2,1,4,3-3,32.0,0,6,369,61.5,0,0
11/16/2013,Cornell College,3,147,49.0,61,0,2,1,1,1,1-2,29.0,0,8,411,51.38,3,0
