Date,Opponent,Tackles,Tackles,Tackles,Tackles,Tackles,Sacks,Sacks,Fumble,Fumble,Fumble,INT,INT,QBH,Pass Brup,Blkd Kick,SAF
Date,Opponent,Solo,AST,TOT,TFL,YDS,TOT,YDS,FF,FR,YDS,TOT,YDS,QBH,Pass Brup,Blkd Kick,SAF
9/7/2013,Carleton College,45,56,101,7.0,41,5.0,38,2,2,0,2,7,1,7,0,0
9/14/2013,Illinois College,44,44,88,12.0,52,7.0,39,0,0,0,1,0,2,2,0,0
9/21/2013,Lake Forest College,33,16,49,8.0,20,3.0,9,1,2,0,4,32,0,6,0,1
9/28/2013,Beloit College,27,34,61,3.0,28,1.0,23,2,1,0,0,0,0,2,0,0
10/12/2013,Monmouth College,53,10,63,5.0,42,1.0,9,1,0,0,2,37,0,5,1,0
10/19/2013,Ripon College,36,28,64,4.0,34,3.0,30,1,1,0,0,0,0,4,1,0
10/26/2013,Carroll University,24,38,62,8.0,31,5.0,26,0,1,0,1,0,0,3,1,1
11/2/2013,Lawrence University,27,12,39,5.0,21,2.0,18,0,0,0,0,0,0,3,0,0
11/9/2013,St. Norbert College,44,20,64,11.0,71,8.0,66,2,2,0,5,74,0,8,2,0
11/16/2013,Cornell College,38,32,70,12.0,44,4.0,30,0,0,0,5,80,0,4,0,0
