Date,Opponent,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Punting,Field Goals,Field Goals,Field Goals,Kickoffs,Kickoffs,Kickoffs,Kickoffs,Kickoffs
Date,Opponent,TOT,YDS,AVG,Long,BLKD,TB,FC,50+,IN20,FGM-FGA,Long,BLKD,TOT,YDS,AVG,TB,OB
9/7/2013,Carleton College,5,185,37.0,45,0,0,4,0,1,1-2,34.0,0,3,185,61.67,2,0
9/14/2013,Illinois College,10,376,37.6,58,0,1,0,1,3,2-3,45.0,0,4,211,52.75,0,1
9/21/2013,Lake Forest College,8,296,37.0,44,0,0,5,0,3,0-0,,0,3,162,54.0,0,0
9/28/2013,Beloit College,7,246,35.1,44,0,0,0,0,2,0-1,0.0,0,7,391,55.86,0,0
10/12/2013,Monmouth College,9,270,16.9,46,1,0,3,0,3,1-1,32.0,0,2,130,65.0,0,0
10/19/2013,Ripon College,6,220,36.7,45,0,0,2,0,1,0-1,0.0,0,5,288,57.6,1,0
10/26/2013,Carroll University,8,302,42.15,48,0,0,1,0,1,0-1,0.0,1,2,115,57.5,0,0
11/2/2013,Lawrence University,7,227,33.1,35,0,0,1,0,2,1-1,21.0,0,5,263,52.6,0,1
11/9/2013,St. Norbert College,7,200,17.1,42,1,0,0,0,0,0-1,0.0,1,1,62,62.0,0,0
11/16/2013,Cornell College,7,275,39.3,53,0,1,4,3,1,0-0,,0,1,65,65.0,1,0
