Date,Opponent,Result,Score,ATT,Scored,PTS,TDS,TDS,TDS,FGS,FGS,Failed to Score,Failed to Score,Failed to Score,Failed to Score,Failed to Score
Date,Opponent,Result,Score,ATT,Scored,PTS,TOT,Rush,Pass,FGM,FGA,Downs,INT,FUM,Half,Game
9/7/2013,Carleton College,L,10-29,4,2,10,1,0,1,1,0,0,1,1,0,0
9/14/2013,Illinois College,L,13-42,2,2,10,1,1,0,1,0,0,0,0,0,0
9/21/2013,Lake Forest College,L,7-15,1,1,7,1,1,0,0,0,0,0,0,0,0
9/28/2013,Beloit College,W,42-17,2,1,7,1,0,1,0,0,0,0,0,1,0
10/12/2013,Monmouth College,L,3-65,1,1,3,0,0,0,1,0,0,0,0,0,0
10/19/2013,Ripon College,L,27-33,4,3,20,3,2,1,0,0,0,0,0,1,0
10/26/2013,Carroll University,L,0-37,1,0,0,0,0,0,0,1,0,0,0,0,0
11/2/2013,Lawrence University,W,24-21,2,2,10,1,1,0,1,0,0,0,0,0,0
11/9/2013,St. Norbert College,L,0-23,1,0,0,0,0,0,0,1,0,0,0,0,0
11/16/2013,Cornell College,L,0-45,3,0,0,0,0,0,0,0,1,2,0,0,0
,TOTALS,,,21,12,67,8,5,3,4,2,1,3,1,2,0
