Stat,Value,Player/Opponent
Rushes,34.0,Lamont Williams vs Carroll University (10/26/2013)
Yards Rushing,219.0,Mason Dixon vs Beloit College (9/28/2013)
TD Rushes,3.0,Stephen Covalt vs Ripon College (10/19/2013)
,3.0,Ethan Thompson vs Cornell College (11/16/2013)
,3.0,Trey Yocum vs Monmouth College (10/12/2013)
Long Rush,81.0,Brik Wedekind vs Monmouth College (10/12/2013)
Pass Attempts,50.0,LukeBarthelmess vs Lawrence University (11/2/2013)
Pass Completions,32.0,LukeBarthelmess vs Lawrence University (11/2/2013)
Yards Passing,424.0,Michael Bates vs Illinois College (9/14/2013)
TD Passes,5.0,Michael Bates vs Illinois College (9/14/2013)
Longest Pass,69.0,Michael Bates vs Illinois College (9/14/2013)
Receptions,12.0,Tommy Zak vs Ripon College (10/19/2013)
Yards Receiving,186.0,Austin Peterson vs Monmouth College (10/12/2013)
TD Receptions,3.0,Josh Gentile vs Illinois College (9/14/2013)
Longest Reception,69.0,Cecil Brimmage vs Illinois College (9/14/2013)
Field Goals,3.0,Randy Hill vs St. Norbert College (11/9/2013)
Longest Field Goal,35.0,Jon Gurchak vs Lake Forest College (9/21/2013)
Punts,8.0,Jon Gurchak vs Lake Forest College (9/21/2013)
Longest Punt,61.0,Kincade Kiger vs Cornell College (11/16/2013)
Longest Punt Return,57.0,Evan Whaley vs Carroll University (10/26/2013)
Longest Kickoff Return,43.0,C.J. Shields vs Monmouth College (10/12/2013)
Tackles,13.0,Luke Reppe vs Carleton College (9/7/2013)
Tackles For Loss,5.5,Kurt Frischman vs Illinois College (9/14/2013)
Interceptions,2.0,Jeremy Demlow vs Cornell College (11/16/2013)
,2.0,Philip Przybyla vs Monmouth College (10/12/2013)
,2.0,Joe Lorenz vs St. Norbert College (11/9/2013)
