#,Player,TD,FG,SAF,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,Points After Touchdown,PTS,Bio Link
#,Player,TD,FG,SAF,KICK,RUSH,RCV,PASS,DXP,PTS,Bio Link
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",8,0,0,0-0,0-0,0,0-0,0,48,View Bio
12.0,"Fisher, Graham 12 Fisher, Graham",0,5,0,15-16,0-0,0,0-0,0,30,View Bio
41.0,"O'Polka, Jake 41 O'Polka, Jake",3,0,0,0-0,0-0,0,0-0,0,18,View Bio
14.0,"Meixler, Jacob 14 Meixler, Jacob",2,0,0,0-0,0-0,0,0-0,0,12,View Bio
80.0,"Campos, Jayson 80 Campos, Jayson",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
,"Desjardin, Clay  Desjardin, Clay",1,0,0,0-0,0-0,0,0-0,0,6,
15.0,"Ruzich, Greg 15 Ruzich, Greg",1,0,0,0-0,0-0,0,0-0,0,6,View Bio
,Total,16,5,0,15-16,0-0,0,0-0,0,126,
,Opponents,43,9,2,36-41,1-1,0,0-0,0,327,
