#,Player,NO,YDS,AVG,TD,Long,Bio Link
21.0,"Hwang, Kevin 21 Hwang, Kevin",14,90,6.43,0,15,View Bio
52.0,"Ternes, David 52 Ternes, David",1,25,25.0,0,0,View Bio
,Total,15,115,7.67,0,15,
,Opponents,23,231,10.04,0,57,
