#,Player,GP,Solo,ASST,TOT,TFL-YDS,Sacks-YDS,INT,BU,QBH,FR,FF,KICK,SAF,Bio Link
52,"Ternes, David 52 Ternes, David",10,75,55,130.0,7.5-19,1.0-10,2,1,1,2,1,1,0,View Bio
21,"Hwang, Kevin 21 Hwang, Kevin",10,47,36,83.0,1.5-3,0-0,5,3,0,1,0,0,0,View Bio
54,"Wiles, Jeremy 54 Wiles, Jeremy",10,38,37,75.0,9.5-18,1.0-7,0,1,0,2,1,0,0,View Bio
32,"Clark, Andrew 32 Clark, Andrew",10,47,13,60.0,0.5-1,0-0,5,8,0,0,0,0,0,View Bio
45,"Feller, Colton 45 Feller, Colton",10,35,23,58.0,7.0-11,0.5-5,1,0,0,0,1,0,0,View Bio
2,"Renteria, Rich 2 Renteria, Rich",10,27,31,58.0,8.0-57,5.5-41,0,0,0,1,3,0,0,
22,"Beecher, Jacob 22 Beecher, Jacob",10,23,25,48.0,1.5-24,0.5-3,1,2,0,1,1,0,0,View Bio
20,"Keller, Max 20 Keller, Max",10,30,16,46.0,1.5-2,0-0,1,4,0,0,0,0,0,View Bio
25,"Gustafson, Seth 25 Gustafson, Seth",10,32,13,45.0,0.5-1,0-0,2,7,0,1,1,0,0,View Bio
5,"Jones, Terrel 5 Jones, Terrel",10,21,19,40.0,7.5-32,1.5-10,0,0,0,0,0,0,0,
42,"Munger, Daniel 42 Munger, Daniel",10,16,19,35.0,2.5-7,0-0,1,0,0,0,0,0,0,View Bio
27,"Ryerson, Daniel 27 Ryerson, Daniel",10,19,8,27.0,5.5-17,0-0,0,0,0,1,0,0,0,View Bio
66,"Russell, Hart 66 Russell, Hart",10,6,13,19.0,2.0-4,0-0,0,1,0,0,0,0,0,View Bio
63,"Guen-Murray, Edward 63 Guen-Murray, Edward",9,6,6,12.0,2.0-11,1.0-9,0,0,0,0,0,0,0,View Bio
18,"Howard, Seth 18 Howard, Seth",9,6,6,12.0,2.0-2,0-0,0,0,0,0,0,0,0,View Bio
34,"Desjardin, Clay 34 Desjardin, Clay",5,4,4,8.0,1.5-2,0-0,0,0,0,1,0,0,0,
51,"Drexler, Riley 51 Drexler, Riley",8,4,4,8.0,1.5-8,1.5-8,0,0,0,0,0,0,0,View Bio
17,"Horton, Braeden 17 Horton, Braeden",10,4,4,8.0,0.5-3,0-0,0,0,0,0,0,0,0,View Bio
88,"Stouwe, O vande 88 Stouwe, O vande",8,4,3,7.0,0.5-2,0.5-2,0,0,0,0,0,0,0,
TM,Team TM Team,8,4,1,5.0,2.0-7,0-0,0,0,0,0,2,0,0,
41,"O'Polka, Jake 41 O'Polka, Jake",10,2,2,4.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
16,"Hoover, Kent 16 Hoover, Kent",7,1,2,3.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
12,"Fisher, Graham 12 Fisher, Graham",10,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
28,"Galaske, Joe 28 Galaske, Joe",4,1,1,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
71,"Gustafson, Pier 71 Gustafson, Pier",9,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,
33,"Morrissette, Ba 33 Morrissette, Ba",10,2,0,2.0,0-0,0-0,0,0,0,0,0,0,0,
11,"Walton, Aamir 11 Walton, Aamir",10,1,1,2.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
6,"Bernholtz, Jacob 6 Bernholtz, Jacob",10,1,0,1.0,0-0,0-0,0,0,0,1,0,0,0,View Bio
80,"Campos, Jayson 80 Campos, Jayson",7,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
62,"Kinsinger, Morg 62 Kinsinger, Morg",8,1,0,1.0,0-0,0-0,0,0,0,0,0,2,0,
58,"Medrano, Matt 58 Medrano, Matt",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
14,"Meixler, Jacob 14 Meixler, Jacob",10,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
13,"Sandoval, Emmi 13 Sandoval, Emmi",9,1,0,1.0,0-0,0-0,0,0,0,0,0,0,0,View Bio
,Total,10,465,342,807.0,65.0-231,13.0-95,18,27,1,11,10,3,0,
,Opponents,10,371,290,661.0,75.0-384,39.0-288,20,44,3,9,9,5,2,
