#,Player,GP,NO,YDS,AVG,TD,Long,AVG/G,Bio Link
14.0,"Meixler, Jacob 14 Meixler, Jacob",10,49,682,13.92,2,75,68.2,View Bio
13.0,"Sandoval, Emmi 13 Sandoval, Emmi",9,31,346,11.16,0,34,38.44,View Bio
41.0,"O'Polka, Jake 41 O'Polka, Jake",10,33,323,9.79,3,62,32.3,View Bio
80.0,"Campos, Jayson 80 Campos, Jayson",7,16,168,10.5,1,27,24.0,View Bio
11.0,"Walton, Aamir 11 Walton, Aamir",10,16,152,9.5,0,29,15.2,View Bio
15.0,"Ruzich, Greg 15 Ruzich, Greg",10,12,128,10.67,1,37,12.8,View Bio
4.0,"Mann, Harnak 4 Mann, Harnak",10,15,111,7.4,0,14,11.1,View Bio
6.0,"Bernholtz, Jacob 6 Bernholtz, Jacob",10,13,85,6.54,0,19,8.5,View Bio
81.0,"Cummings, Henry 81 Cummings, Henry",5,5,49,9.8,0,25,9.8,View Bio
17.0,"Horton, Braeden 17 Horton, Braeden",10,3,38,12.67,0,15,3.8,View Bio
,"Morrissette, Ba  Morrissette, Ba",10,5,28,5.6,0,16,2.8,
,Total,10,198,2110,10.66,7,75,211.0,
,Opponents,10,177,2174,12.28,21,69,217.4,
