Date,Opponent,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Passing,Passing,Passing,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns
Date,Opponent,ATT,YDS,TD,Long,ATT,YDS,TD,Long,YDS,TD,Long,ATT,YDS,TD,Long,ATT,YDS,TD,Long
9/7/2013,Carleton College,42,158,0,33,17,343,4,60,343,4,60,1,14,0,14,0,0,0,0
9/14/2013,Illinois College,37,171,1,18,29,441,5,69,441,5,69,2,43,0,23,2,29,0,15
9/21/2013,Lake Forest College,41,78,0,11,20,196,1,31,196,1,31,3,60,0,22,2,-1,0,0
9/28/2013,Beloit College,59,232,1,60,4,67,1,22,67,1,22,7,132,0,30,3,3,0,3
10/12/2013,Monmouth College,41,295,4,81,21,320,5,66,320,5,66,2,57,0,43,2,29,0,10
10/19/2013,Ripon College,63,294,5,79,15,156,0,40,156,0,40,4,101,0,27,1,13,0,13
10/26/2013,Carroll University,64,312,4,22,11,116,1,22,116,1,22,2,60,0,40,4,85,0,57
11/2/2013,Lawrence University,37,176,0,42,32,337,3,42,337,3,42,4,85,0,34,2,8,0,7
11/9/2013,St. Norbert College,37,116,2,66,10,69,0,14,69,0,14,1,31,0,31,5,48,0,19
11/16/2013,Cornell College,52,361,4,42,18,129,1,15,129,1,15,0,0,0,0,2,17,0,9
