#,Player,GP,Rating,COMP,ATT,INT,%,YDS,TD,Long,AVG/G,Bio Link
7.0,"Poulos, Sam 7 Poulos, Sam",7,112.02,123,225,4,54.67 %,1435,5,75,205.0,View Bio
8.0,"Goetz, TJ 8 Goetz, TJ",9,67.71,75,157,16,47.77 %,675,2,63,75.0,View Bio
14.0,"Meixler, Jacob 14 Meixler, Jacob",10,,0,0,0,,0,0,0,0.0,View Bio
,Total,10,93.81,198,382,20,51.83 %,2110,7,75,211.0,
,Opponents,10,125.93,177,312,18,56.73 %,2174,21,69,217.4,
