#,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,ATTACK,ATTACK,ATTACK,ATTACK,ATTACK,SET,SET,SERVE,SERVE,SERVE,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
2.0,"Chulaki, Sonia 2Chulaki, Sonia",3,3,0.0,0.0,0.0,0,0.0,0,0,0.0,1,0.33,0,0.0,2,View Bio
3.0,"Litke, Sidney 3 Litke, Sidney",37,15,1.0,25.0,0.68,11,0.3,15,73,-0.055,4,0.11,13,0.35,16,View Bio
5.0,"Smith, Madison 5Smith, Madison",12,6,1.0,4.0,0.33,3,0.25,0,9,0.333,20,1.67,1,0.08,2,View Bio
6.0,"Friedman, Emily 6Friedman, Emily",77,22,4.0,167.0,2.17,142,1.84,53,446,0.2,10,0.13,18,0.23,13,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",88,25,6.0,98.5,1.12,63,0.72,12,272,0.188,675,7.67,16,0.18,21,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",84,25,1.0,176.0,2.1,152,1.81,57,451,0.211,6,0.07,0,0.0,2,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",73,20,2.0,52.0,0.71,24,0.33,16,149,0.054,49,0.67,28,0.38,25,View Bio
12.0,"Lane, Elizabeth 12Lane, Elizabeth",15,6,0.0,14.5,0.97,7,0.47,7,24,0.0,2,0.13,0,0.0,0,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",84,24,7.0,213.0,2.54,159,1.89,42,455,0.257,19,0.23,24,0.29,15,View Bio
18.0,"Hill, Nora 18Hill, Nora",5,3,1.0,2.5,0.5,2,0.4,3,9,-0.111,1,0.2,0,0.0,1,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",88,25,7.0,310.5,3.53,265,3.01,94,761,0.225,20,0.23,30,0.34,33,View Bio
21.0,"Wilson, Carina 21Wilson, Carina",4,2,0.0,4.0,1.0,4,1.0,1,11,0.273,0,0.0,0,0.0,0,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",72,24,5.0,20.0,0.28,7,0.1,12,46,-0.109,26,0.36,13,0.18,23,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",75,22,6.0,166.0,2.21,121,1.61,27,330,0.285,6,0.08,1,0.01,1,View Bio
24.0,"Hood, Christine 24Hood, Christine",85,25,1.0,18.0,0.21,0,0.0,9,37,-0.243,35,0.41,18,0.21,19,View Bio
,Total,88,25,,1271.0,14.44,960,10.91,349,3074,0.199,874,9.93,162,1.84,173,
,Opponents,88,25,,1202.0,13.66,969,11.01,517,3094,0.146,893,10.15,124,1.41,174,
