Date,Opponent,W/L,SP,K,E,TA,PCT,AST,SA,SE,RE,DIG,BS,BA,BE,TB,BHE,PTS
9/02/2016,Hamline,L,4,37,28,172,0.052,35,4,8,4,77,3,8,0,7.0,2,48.0
9/02/2016,Buena Vista,L,5,40,19,175,0.12,34,4,8,12,90,4,0,0,4.0,1,48.0
9/09/2016,vs Faith Baptist Coll.,W,3,39,15,94,0.255,33,10,13,2,24,0,4,0,2.0,1,51.0
9/09/2016,vs Providence-Manitoba,L,3,24,15,106,0.085,23,2,6,9,49,0,12,1,6.0,0,32.0
9/10/2016,vs Trinity Bible Coll.,W,3,37,7,71,0.423,34,16,10,0,31,2,2,2,3.0,0,56.0
9/10/2016,at North Central Univ.,W,3,42,12,104,0.288,39,6,12,6,43,3,6,1,6.0,0,54.0
9/13/2016,Iowa Wesleyan Univ.,W,3,34,1,84,0.393,30,5,4,2,44,1,4,0,3.0,2,42.0
9/16/2016,vs Marian (Wis.),L,5,57,22,173,0.202,53,8,5,5,89,2,12,2,8.0,1,73.0
9/16/2016,vs Wisconsin Lutheran,L,3,29,9,105,0.19,29,4,6,8,47,6,4,0,8.0,0,41.0
9/17/2016,at Augustana,L,3,26,13,107,0.121,23,2,5,4,53,2,2,1,3.0,1,31.0
9/17/2016,vs UW-Platteville,L,4,37,5,123,0.26,34,4,1,0,77,6,4,0,8.0,0,49.0
9/23/2016,at Mount Mary,W,3,28,13,92,0.163,28,10,8,4,52,3,4,0,5.0,0,43.0
9/24/2016,at Alverno,W,3,27,8,75,0.253,24,12,11,6,28,2,6,0,5.0,2,44.0
9/28/2016,at Cornell College,L,3,22,17,85,0.059,20,1,2,5,32,3,4,1,5.0,1,28.0
10/01/2016,Ripon College,W,4,57,10,159,0.296,51,2,9,7,83,4,8,0,8.0,6,67.0
10/01/2016,North Central Univ.,W,3,40,4,91,0.396,37,12,9,5,46,4,4,0,6.0,2,58.0
10/07/2016,at Beloit College,W,3,42,6,109,0.33,38,4,2,1,67,0,2,0,1.0,0,47.0
10/08/2016,at Lake Forest College,L,4,34,23,138,0.08,32,7,4,11,58,2,6,1,5.0,3,46.0
10/10/2016,Simpson College,W,4,44,18,140,0.186,39,18,6,6,63,5,2,0,6.0,3,68.0
10/15/2016,Illinois College,W,4,53,11,150,0.28,45,6,8,4,84,7,12,0,13.0,8,72.0
10/21/2016,Lawrence University,W,4,50,20,178,0.169,46,6,7,4,99,8,10,2,13.0,0,69.0
10/22/2016,St. Norbert College,L,4,39,22,154,0.11,36,6,8,6,64,4,8,0,8.0,1,53.0
10/28/2016,at Knox College,W,4,54,17,158,0.234,49,8,12,5,78,5,0,0,5.0,2,67.0
10/29/2016,Monmouth College,W,3,45,17,125,0.224,41,4,6,1,67,6,2,0,7.0,1,56.0
11/04/2016,vs St. Norbert College,L,3,23,17,106,0.057,21,1,3,7,51,0,8,1,4.0,1,28.0
,Grinnell College,,88,960,349,3074,0.199,874,162,173,124,1496,82,134,12,149.0,38,1271.0
,Opponents,,88,969,517,3094,0.146,893,124,174,158,1519,35,148,10,109.0,49,1202.0
