#,Unnamed: 1_level_0,Unnamed: 2_level_0,DIG,DIG,RECEPT,RECEPT,RECEPT,RECEPT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,Bio Link
#,Player,SP,DIG,DIG/S,RE,TA,Rec%,RE/S,BS,BA,BLK,BLK/S,BE,BHE,Bio Link
2.0,"Chulaki, Sonia 2Chulaki, Sonia",3,1,0.33,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
3.0,"Litke, Sidney 3 Litke, Sidney",37,53,1.43,9,0,0.0,0.24,0,2,2.0,0.05,0,1,View Bio
5.0,"Smith, Madison 5Smith, Madison",12,12,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,2,View Bio
6.0,"Friedman, Emily 6Friedman, Emily",77,130,1.69,12,0,0.0,0.16,5,4,9.0,0.12,0,5,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",88,188,2.14,1,0,0.0,0.01,10,19,29.0,0.33,3,12,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",84,30,0.36,1,0,0.0,0.01,8,32,40.0,0.48,2,3,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",73,322,4.41,24,0,0.0,0.33,0,0,0.0,0.0,0,4,View Bio
12.0,"Lane, Elizabeth 12Lane, Elizabeth",15,1,0.07,2,0,0.0,0.13,1,13,14.0,0.93,1,1,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",84,69,0.82,0,0,0.0,0.0,19,22,41.0,0.49,2,0,View Bio
18.0,"Hill, Nora 18Hill, Nora",5,2,0.4,0,0,0.0,0.0,0,1,1.0,0.2,0,0,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",88,248,2.82,15,0,0.0,0.17,9,13,22.0,0.25,1,2,View Bio
21.0,"Wilson, Carina 21Wilson, Carina",4,4,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",72,166,2.31,13,0,0.0,0.18,0,0,0.0,0.0,0,0,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",75,29,0.39,3,0,0.0,0.04,30,28,58.0,0.77,3,2,View Bio
24.0,"Hood, Christine 24Hood, Christine",85,236,2.78,27,0,0.0,0.32,0,0,0.0,0.0,0,1,View Bio
,Total,88,1491,16.94,124,0,0.0,1.41,82,134,149.0,1.69,12,38,
,Opponents,88,1519,17.26,158,0,0.0,1.8,35,148,109.0,1.24,10,49,
