#,Player,SP,MP,MS,PTS,PTS/S,Attack,Attack,Attack,Attack,Attack,Set,Set,Serve,Serve,Serve,Bio Link
#,Player,SP,MP,MS,PTS,PTS/S,K,K/S,E,TA,PCT,A,A/S,SA,SA/S,SE,Bio Link
2.0,"Chulaki, Sonia 2Chulaki, Sonia",1,1,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,View Bio
3.0,"Litke, Sidney 3 Litke, Sidney",9,4,0.0,0.0,0.0,0,0.0,1,2,-0.5,1,0.11,0,0.0,1,View Bio
6.0,"Friedman, Emily 6Friedman, Emily",33,9,3.0,83.0,2.52,74,2.24,28,224,0.205,4,0.12,5,0.15,9,View Bio
7.0,"Giles, Margaret 7 Giles, Margaret",33,9,3.0,41.0,1.24,23,0.7,5,109,0.165,278,8.42,6,0.18,6,View Bio
8.0,"Lepito, Ariel 8Lepito, Ariel",33,9,0.0,84.5,2.56,72,2.18,25,199,0.236,2,0.06,0,0.0,2,View Bio
9.0,"Vrecenar, Sydney 9 Vrecenar, Sydney",33,9,0.0,24.0,0.73,13,0.39,8,64,0.078,26,0.79,11,0.33,15,View Bio
13.0,"Weidman, Evelyn 13Weidman, Evelyn",29,8,3.0,75.0,2.59,61,2.1,22,172,0.227,6,0.21,5,0.17,4,View Bio
17.0,"Lane, Elizabeth 17Lane, Elizabeth",5,2,0.0,3.0,0.6,1,0.2,1,6,0.0,0,0.0,0,0.0,0,View Bio
18.0,"Hill, Nora 18Hill, Nora",1,1,0.0,0.0,0.0,0,0.0,0,0,0.0,0,0.0,0,0.0,1,View Bio
20.0,"Fromm, Olivia 20Fromm, Olivia",33,9,3.0,115.5,3.5,99,3.0,33,299,0.221,14,0.42,12,0.36,11,View Bio
22.0,"Taylor, Deanna 22 Taylor, Deanna",29,9,2.0,4.0,0.14,0,0.0,6,17,-0.353,16,0.55,4,0.14,7,View Bio
23.0,"Willhardt, Emma 23 Willhardt, Emma",32,9,3.0,75.0,2.34,53,1.66,11,154,0.273,2,0.06,1,0.03,1,View Bio
24.0,"Hood, Christine 24Hood, Christine",31,9,1.0,0.0,0.0,0,0.0,2,9,-0.222,9,0.29,0,0.0,1,View Bio
,Total,33,9,,505.0,15.3,396,12.0,143,1256,0.201,358,10.85,44,1.33,58,
,Opponents,33,9,,523.0,15.85,433,13.12,195,1347,0.177,403,12.21,44,1.33,71,
