Name,GP,MIN,MIN/G
"#14 Lillis, Erin",22,720,32.7
"#10 Ware, Nikki",21,618,29.4
"#05 Ahooja, Sofia",20,531,26.6
"#15 Hall, P.K.",22,514,23.4
"#20 Rockwell, Aiyana",22,507,23.0
"#32 Coalson, Aidan",22,325,14.8
"#34 Booher, Sara",22,221,10.0
"#11 Carchidi, Eva",18,201,11.2
"#13 Marsh, Grace",18,200,11.1
"#44 Delaney, Sophie",19,158,8.3
"#35 Toay, Sarah",9,102,11.3
"#21 Nyquist, Emmy",13,100,7.7
"#12 Tomczik, Kate",8,90,11.3
"#25 Dougherty, Annabel",9,56,6.2
"#24 Filkins, Annie",7,24,3.4
"#23 Collier, Claire",4,23,5.8
"#33 Friedman, Elena",6,23,3.8
"#45 Singleton, Aliya",8,19,2.4
"#22 Woodard, Valeriya",4,12,3.0
"#42 Gubbrud, Ellie",4,6,1.5
