Opponent,Date,Score,W/L,FGM/A,PCT,3FG/A,PCT.1,FTM/A,PCT.2,OFF,DEF,TOT,AVG,PF,AST,TO,BLK,STL,PTS,AVG.1
vs Central Christian,11/06/21,71-34,W,28-65,0.431,7-27,0.259,8-11,0.727,15,29,44,44.0,16,18,14,1,21,71,71.0
vs Central,11/08/21,80-66,W,31-72,0.431,9-24,0.375,9-13,0.692,11,37,48,46.0,16,13,15,5,9,80,75.5
at Rockford,11/10/21,50-67,L,19-55,0.345,2-17,0.118,10-14,0.714,9,30,39,43.7,20,4,21,5,4,50,67.0
vs Neb. Wesleyan,11/13/21,56-68,L,21-69,0.304,7-33,0.212,7-7,1.0,8,21,29,40.0,20,8,15,1,15,56,64.3
vs Lake Forest,11/20/21,76-77,L,25-73,0.342,10-28,0.357,16-28,0.571,16,31,47,41.4,26,18,18,5,13,76,66.6
at Buena Vista,11/23/21,64-57,W,24-54,0.444,5-17,0.294,11-16,0.688,7,23,30,39.5,16,5,17,2,9,64,66.2
vs Iowa Wesleyan University,11/24/21,38-78,L,12-49,0.245,6-24,0.25,8-11,0.727,13,17,30,38.1,17,9,29,3,4,38,62.1
vs Waldorf,11/28/21,60-70,L,23-70,0.329,9-21,0.429,5-5,1.0,10,24,34,37.6,13,14,11,1,7,60,61.9
at Knox,11/30/21,58-57,W,23-58,0.397,4-19,0.211,8-15,0.533,12,20,32,37.0,17,12,14,1,9,58,61.4
vs Lawrence,12/04/21,72-61,W,26-60,0.433,9-23,0.391,11-12,0.917,5,31,36,36.9,18,19,15,3,8,72,62.5
vs Cornell College,12/08/21,66-81,L,25-67,0.373,10-31,0.323,6-9,0.667,12,15,27,36.0,20,12,8,1,5,66,62.8
at Ripon College,01/04/22,45-62,L,18-58,0.31,4-21,0.19,5-10,0.5,8,22,30,35.5,23,6,17,2,8,45,61.3
vs Knox,01/09/22,60-74,L,20-67,0.299,8-28,0.286,12-16,0.75,12,26,38,35.7,22,10,14,2,6,60,61.2
at Lawrence,01/15/22,48-66,L,14-51,0.275,2-26,0.077,18-26,0.692,11,24,35,35.6,14,5,14,0,6,48,60.3
vs Ripon,01/22/22,65-58,W,25-58,0.431,5-18,0.278,10-13,0.769,9,27,36,35.7,15,14,18,1,6,65,60.6
at Cornell College,02/01/22,42-38,W,16-55,0.291,5-22,0.227,5-7,0.714,9,40,49,36.5,17,10,16,7,2,42,59.4
vs Monmouth (IL),02/05/22,66-74,L,22-56,0.393,8-22,0.364,14-18,0.778,5,22,27,35.9,22,13,7,1,3,66,59.8
at Monmouth (IL),02/06/22,49-68,L,17-50,0.34,6-19,0.316,9-15,0.6,5,27,32,35.7,15,9,17,1,4,49,59.2
vs Illinois College,02/09/22,67-81,L,24-63,0.381,7-19,0.368,12-18,0.667,9,31,40,35.9,15,18,19,5,5,67,59.6
at Beloit,02/15/22,63-60,W,23-59,0.39,1-13,0.077,16-23,0.696,13,40,53,36.8,19,8,34,8,13,63,59.8
vs Beloit,02/17/22,74-58,W,28-57,0.491,10-24,0.417,8-12,0.667,6,32,38,36.9,14,15,12,4,9,74,60.5
at Lake Forest,02/19/22,49-55,L,18-54,0.333,6-25,0.24,7-7,1.0,13,32,45,37.2,15,1,22,0,8,49,60.0
Grinnell College,,-,,482-1320,0.365,140-501,0.279,215-306,0.703,218,601,819,37.2,390,241,367,59,174,1319,60.0
Opponents,,-,,516-1341,0.385,101-356,0.284,277-395,0.701,271,647,918,41.7,338,242,345,38,189,1410,64.1
