Name,GP,REB,AVG/G,OFF,OFF/G,DEF,DEF/G
"#15 Hall, P.K.",22,128,5.8,43,2.0,85,3.9
"#32 Coalson, Aidan",22,120,5.5,27,1.2,93,4.2
"#14 Lillis, Erin",22,90,4.1,16,0.7,74,3.4
#TM Team,22,82,3.7,28,1.3,54,2.5
"#34 Booher, Sara",22,79,3.6,22,1.0,57,2.6
"#10 Ware, Nikki",21,71,3.4,16,0.8,55,2.6
"#20 Rockwell, Aiyana",22,46,2.1,10,0.5,36,1.6
"#05 Ahooja, Sofia",20,43,2.2,9,0.5,34,1.7
"#13 Marsh, Grace",18,34,1.9,13,0.7,21,1.2
"#12 Tomczik, Kate",8,33,4.1,11,1.4,22,2.8
"#11 Carchidi, Eva",18,21,1.2,7,0.4,14,0.8
"#44 Delaney, Sophie",19,21,1.1,1,0.1,20,1.1
"#35 Toay, Sarah",9,17,1.9,5,0.6,12,1.3
"#25 Dougherty, Annabel",9,12,1.3,5,0.6,7,0.8
"#21 Nyquist, Emmy",13,10,0.8,4,0.3,6,0.5
"#23 Collier, Claire",4,4,1.0,0,0.0,4,1.0
"#45 Singleton, Aliya",8,4,0.5,1,0.1,3,0.4
"#24 Filkins, Annie",7,2,0.3,0,0.0,2,0.3
"#42 Gubbrud, Ellie",4,2,0.5,0,0.0,2,0.5
