#,Player,GP,GS,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Unnamed: 12_level_0,Unnamed: 13_level_0,Unnamed: 14_level_0,Unnamed: 15_level_0
#,Player,GP,GS,MIN,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG
14.0,"Lillis, Erin 14 Lillis, Erin",22,22.0,720,139,359,0.387,27,107,0.252,81,99,0.818,386,17.5
10.0,"Ware, Nikki 10 Ware, Nikki",21,21.0,618,82,237,0.346,34,112,0.304,48,56,0.857,246,11.7
12.0,"Tomczik, Kate 12 Tomczik, Kate",8,5.0,90,18,46,0.391,1,6,0.167,11,25,0.44,48,6.0
5.0,"Ahooja, Sofia 05 Ahooja, Sofia",20,19.0,531,44,116,0.379,7,28,0.25,20,29,0.69,115,5.8
32.0,"Coalson, Aidan 32 Coalson, Aidan",22,20.0,325,36,83,0.434,2,11,0.182,13,25,0.52,87,4.0
20.0,"Rockwell, Aiyana 20 Rockwell, Aiyana",22,4.0,507,30,88,0.341,20,67,0.299,9,11,0.818,89,4.0
15.0,"Hall, P.K. 15 Hall, P.K.",22,16.0,514,32,104,0.308,10,33,0.303,5,11,0.455,79,3.6
34.0,"Booher, Sara 34 Booher, Sara",22,0.0,221,29,67,0.433,0,0,0.0,9,19,0.474,67,3.0
11.0,"Carchidi, Eva 11 Carchidi, Eva",18,0.0,201,19,71,0.268,12,51,0.235,8,10,0.8,58,3.2
13.0,"Marsh, Grace 13 Marsh, Grace",18,0.0,200,16,45,0.356,8,27,0.296,5,10,0.5,45,2.5
35.0,"Toay, Sarah 35 Toay, Sarah",9,2.0,102,7,19,0.368,0,0,0.0,0,2,0.0,14,1.6
23.0,"Collier, Claire 23 Collier, Claire",4,0.0,23,1,2,0.5,1,2,0.5,1,2,0.5,4,1.0
44.0,"Delaney, Sophie 44 Delaney, Sophie",19,0.0,158,11,38,0.289,10,35,0.286,0,0,0.0,32,1.7
25.0,"Dougherty, Annabel 25 Dougherty, Annabel",9,0.0,56,6,14,0.429,0,2,0.0,3,5,0.6,15,1.7
33.0,"Friedman, Elena 33 Friedman, Elena",6,0.0,23,4,11,0.364,2,9,0.222,0,0,0.0,10,1.7
21.0,"Nyquist, Emmy 21 Nyquist, Emmy",13,0.0,100,4,12,0.333,4,7,0.571,2,2,1.0,14,1.1
42.0,"Gubbrud, Ellie 42 Gubbrud, Ellie",4,1.0,6,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0
24.0,"Filkins, Annie 24 Filkins, Annie",7,0.0,24,2,4,0.5,2,3,0.667,0,0,0.0,6,0.9
45.0,"Singleton, Aliya 45 Singleton, Aliya",8,0.0,19,1,1,1.0,0,0,0.0,0,0,0.0,2,0.3
22.0,"Woodard, Valeriya 22 Woodard, Valeriya",4,0.0,12,1,3,0.333,0,1,0.0,0,0,0.0,2,0.5
,Total,22,,4450,482,1320,0.365,140,501,0.279,215,306,0.703,1319,59.95
,Opponents,22,,4450,516,1341,0.385,101,356,0.284,277,395,0.701,1410,64.09
