#,Player,GP,GS,Minutes,Minutes,FG,FG,FG,3PT,3PT,3PT,FT,FT,FT,Scoring,Scoring,Rebounds,Rebounds,Rebounds,Rebounds,PF,AST,TO,STL,BLK,Bio Link
#,Player,GP,GS,TOT,AVG,FGM,FGA,FG%,3PT,3PTA,3PT%,FTM,FTA,FT%,PTS,AVG,OFF,DEF,TOT,AVG,PF,AST,TO,STL,BLK,Bio Link
14,"Lillis, Erin 14 Lillis, Erin",22,22.0,720,32.7,139,359,0.387,27,107,0.252,81,99,0.818,386,17.5,16,74,90,4.1,46,52,68,30,2,View Bio
10,"Ware, Nikki 10 Ware, Nikki",21,21.0,618,29.4,82,237,0.346,34,112,0.304,48,56,0.857,246,11.7,16,55,71,3.4,62,45,49,40,3,View Bio
12,"Tomczik, Kate 12 Tomczik, Kate",8,5.0,90,11.3,18,46,0.391,1,6,0.167,11,25,0.44,48,6.0,11,22,33,4.1,16,3,9,2,0,View Bio
05,"Ahooja, Sofia 05 Ahooja, Sofia",20,19.0,531,26.6,44,116,0.379,7,28,0.25,20,29,0.69,115,5.8,9,34,43,2.2,26,55,44,23,0,View Bio
32,"Coalson, Aidan 32 Coalson, Aidan",22,20.0,325,14.8,36,83,0.434,2,11,0.182,13,25,0.52,87,4.0,27,93,120,5.5,56,11,52,9,19,View Bio
20,"Rockwell, Aiyana 20 Rockwell, Aiyana",22,4.0,507,23.0,30,88,0.341,20,67,0.299,9,11,0.818,89,4.0,10,36,46,2.1,38,14,24,14,9,View Bio
15,"Hall, P.K. 15 Hall, P.K.",22,16.0,514,23.4,32,104,0.308,10,33,0.303,5,11,0.455,79,3.6,43,85,128,5.8,53,13,24,24,8,View Bio
11,"Carchidi, Eva 11 Carchidi, Eva",18,0.0,201,11.2,19,71,0.268,12,51,0.235,8,10,0.8,58,3.2,7,14,21,1.2,10,11,12,2,0,View Bio
34,"Booher, Sara 34 Booher, Sara",22,0.0,221,10.0,29,67,0.433,0,0,0.0,9,19,0.474,67,3.0,22,57,79,3.6,31,5,21,5,13,View Bio
13,"Marsh, Grace 13 Marsh, Grace",18,0.0,200,11.1,16,45,0.356,8,27,0.296,5,10,0.5,45,2.5,13,21,34,1.9,10,13,15,5,1,View Bio
44,"Delaney, Sophie 44 Delaney, Sophie",19,0.0,158,8.3,11,38,0.289,10,35,0.286,0,0,0.0,32,1.7,1,20,21,1.1,12,8,4,3,1,View Bio
25,"Dougherty, Annabel 25 Dougherty, Annabel",9,0.0,56,6.2,6,14,0.429,0,2,0.0,3,5,0.6,15,1.7,5,7,12,1.3,8,1,7,3,0,View Bio
33,"Friedman, Elena 33 Friedman, Elena",6,0.0,23,3.8,4,11,0.364,2,9,0.222,0,0,0.0,10,1.7,0,0,0,0.0,0,1,2,2,0,View Bio
35,"Toay, Sarah 35 Toay, Sarah",9,2.0,102,11.3,7,19,0.368,0,0,0.0,0,2,0.0,14,1.6,5,12,17,1.9,7,1,5,5,2,View Bio
21,"Nyquist, Emmy 21 Nyquist, Emmy",13,0.0,100,7.7,4,12,0.333,4,7,0.571,2,2,1.0,14,1.1,4,6,10,0.8,3,2,7,2,0,View Bio
23,"Collier, Claire 23 Collier, Claire",4,0.0,23,5.8,1,2,0.5,1,2,0.5,1,2,0.5,4,1.0,0,4,4,1.0,4,2,2,0,0,View Bio
24,"Filkins, Annie 24 Filkins, Annie",7,0.0,24,3.4,2,4,0.5,2,3,0.667,0,0,0.0,6,0.9,0,2,2,0.3,2,2,1,3,0,View Bio
22,"Woodard, Valeriya 22 Woodard, Valeriya",4,0.0,12,3.0,1,3,0.333,0,1,0.0,0,0,0.0,2,0.5,0,0,0,0.0,2,2,3,1,0,View Bio
45,"Singleton, Aliya 45 Singleton, Aliya",8,0.0,19,2.4,1,1,1.0,0,0,0.0,0,0,0.0,2,0.3,1,3,4,0.5,2,0,2,1,1,View Bio
42,"Gubbrud, Ellie 42 Gubbrud, Ellie",4,1.0,6,1.5,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,0,2,2,0.5,2,0,0,0,0,View Bio
TM,Team  TM Team,22,0.0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0,0.0,28,54,82,3.7,0,0,16,0,0,
,Total,22,,4450,202.3,482,1320,0.365,140,501,0.279,215,306,0.703,1319,59.95,218,601,819,37.2,390,241,367,174,59,
,Opponents,22,,4450,202.3,516,1341,0.385,101,356,0.284,277,395,0.701,1410,64.09,271,647,918,41.7,338,242,345,189,38,
