Name,GP,Pts,Pts/G
"#14 Lillis, Erin",22,386,17.5
"#10 Ware, Nikki",21,246,11.7
"#05 Ahooja, Sofia",20,115,5.8
"#20 Rockwell, Aiyana",22,89,4.0
"#32 Coalson, Aidan",22,87,4.0
"#15 Hall, P.K.",22,79,3.6
"#34 Booher, Sara",22,67,3.0
"#11 Carchidi, Eva",18,58,3.2
"#12 Tomczik, Kate",8,48,6.0
"#13 Marsh, Grace",18,45,2.5
"#44 Delaney, Sophie",19,32,1.7
"#25 Dougherty, Annabel",9,15,1.7
"#21 Nyquist, Emmy",13,14,1.1
"#35 Toay, Sarah",9,14,1.6
"#33 Friedman, Elena",6,10,1.7
"#24 Filkins, Annie",7,6,0.9
"#23 Collier, Claire",4,4,1.0
"#45 Singleton, Aliya",8,2,0.3
"#22 Woodard, Valeriya",4,2,0.5
