Statistic,High,Player,Opponent
POINTS,31,"Lillis,Erin; Erin Lillis",Lake Forest (11/20/21); Beloit (02/17/22)
FIELD GOALS MADE,11,Erin Lillis,Beloit (02/17/22)
FIELD GOAL ATTEMPTS,22,"Lillis,Erin",Monmouth (IL) (02/05/22)
3 PT FIELD GOALS MADE,5,"Lillis,Erin; Nicole Ware; Erin Lillis",Lake Forest (11/20/21); Lawrence (12/04/21); Illinois College (02/09/22); Beloit (02/17/22)
3 PT FG ATTEMPTS,11,"Ware,Nicole",Cornell College (12/08/21)
FREE THROWS MADE,7,"Ware,Nicole; Erin Lillis",Monmouth (IL) (02/05/22); Illinois College (02/09/22); Rockford (11/10/21); Beloit (02/15/22)
FREE THROW ATTEMPTS,12,"Tomczik,Kate",Lake Forest (11/20/21)
REBOUNDS,15,Payton Hall,Buena Vista (11/23/21)
ASSISTS,9,Sofia Ahooja,Lawrence (12/04/21)
STEALS,5,Nicole Ware,Neb. Wesleyan (11/13/21)
BLOCKED SHOTS,4,Aidan Coalson,Beloit (02/17/22)
TURNOVERS,7,"Erin Lillis; Ahooja,Sofia",Ripon (01/22/22); Beloit (02/15/22)
FOULS,5,"Kate Tomczik; Hall,Payton; Ahooja,Sofia; Aidan Coalson; Ware,Nicole",Neb. Wesleyan (11/13/21); Lake Forest (11/20/21); Cornell College (12/08/21); Monmouth (IL) (02/05/22); Rockford (11/10/21); Buena Vista (11/23/21); Beloit (02/15/22)
