Opponent,Date,Score,MAR,FG,FG PCT,3FG,3FG PCT,FT,FT PCT,RB,AST,TO,BLK,STL,PF
Central Christian,11/06/21,71-34,37,28-65/11-43,.431/.256,7-27/2-12,.259/.167,8-11/10-17,.727-.588,44/31 13,18/5,14/26,1/3,21/5,16/10
Central,11/08/21,80-66,14,31-72/25-71,.431/.352,9-24/4-27,.375/.148,9-13/12-20,.692-.600,48/44 4,13/9,15/13,5/1,9/8,16/14
Rockford,11/10/21,50-67,-17,19-55/25-64,.345/.391,2-17/8-24,.118/.333,10-14/9-18,.714-.500,39/41 -2,4/8,21/10,5/3,4/8,20/16
Neb. Wesleyan,11/13/21,56-68,-12,21-69/24-55,.304/.436,7-33/3-9,.212/.333,7-7/17-22,1.000-.773,29/52 -23,8/17,15/26,1/1,15/9,20/14
Lake Forest,11/20/21,76-77,-1,25-73/25-66,.342/.379,10-28/5-19,.357/.263,16-28/22-29,.571-.759,47/52 -5,18/13,18/24,5/0,13/7,26/26
Buena Vista,11/23/21,64-57,7,24-54/19-58,.444/.328,5-17/5-21,.294/.238,11-16/14-16,.688-.875,30/35 -5,5/10,17/21,2/1,9/8,16/17
Iowa Wesleyan University,11/24/21,38-78,-40,12-49/29-58,.245/.500,6-24/11-27,.250/.407,8-11/9-13,.727-.692,30/38 -8,9/13,29/16,3/1,4/18,17/11
Waldorf,11/28/21,60-70,-10,23-70/24-59,.329/.407,9-21/9-24,.429/.375,5-5/13-18,1.000-.722,34/50 -16,14/15,11/18,1/4,7/6,13/8
Knox,11/30/21,58-57,1,23-58/22-53,.397/.415,4-19/4-11,.211/.364,8-15/9-10,.533-.900,32/36 -4,12/13,14/19,1/4,9/6,17/14
Lawrence,12/04/21,72-61,11,26-60/19-61,.433/.311,9-23/6-16,.391/.375,11-12/17-21,.917-.810,36/41 -5,19/9,15/14,3/2,8/6,18/14
Cornell College,12/08/21,66-81,-15,25-67/31-60,.373/.517,10-31/1-6,.323/.167,6-9/18-26,.667-.692,27/50 -23,12/8,8/14,1/1,5/5,20/17
Ripon College,01/04/22,45-62,-17,18-58/22-55,.310/.400,4-21/6-18,.190/.333,5-10/12-19,.500-.632,30/44 -14,6/13,17/18,2/1,8/9,23/16
Knox,01/09/22,60-74,-14,20-67/24-53,.299/.453,8-28/4-14,.286/.286,12-16/22-30,.750-.733,38/44 -6,10/15,14/14,2/2,6/7,22/17
Lawrence,01/15/22,48-66,-18,14-51/26-58,.275/.448,2-26/6-15,.077/.400,18-26/8-12,.692-.667,35/40 -5,5/12,14/13,0/0,6/4,14/18
Ripon,01/22/22,65-58,7,25-58/25-63,.431/.397,5-18/2-12,.278/.167,10-13/6-7,.769-.857,36/39 -3,14/12,18/19,1/6,6/7,15/18
Cornell College,02/01/22,42-38,4,16-55/12-68,.291/.176,5-22/2-19,.227/.105,5-7/12-22,.714-.545,49/53 -4,10/3,16/8,7/1,2/9,17/12
Monmouth (IL),02/05/22,66-74,-8,22-56/25-54,.393/.463,8-22/3-11,.364/.273,14-18/21-24,.778-.875,27/38 -11,13/11,7/9,1/1,3/4,22/15
Monmouth (IL),02/06/22,49-68,-19,17-50/29-65,.340/.446,6-19/6-15,.316/.400,9-15/4-7,.600-.571,32/34 -2,9/14,17/6,1/2,4/3,15/12
Illinois College,02/09/22,67-81,-14,24-63/32-72,.381/.444,7-19/4-10,.368/.400,12-18/13-19,.667-.684,40/44 -4,18/15,19/13,5/0,5/13,15/15
Beloit,02/15/22,63-60,3,23-59/23-82,.390/.280,1-13/4-13,.077/.308,16-23/10-15,.696-.667,53/49 4,8/10,34/20,8/3,13/20,19/23
Beloit,02/17/22,74-58,16,28-57/24-66,.491/.364,10-24/3-13,.417/.231,8-12/7-11,.667-.636,38/32 6,15/9,12/11,4/1,9/11,14/17
Lake Forest,02/19/22,49-55,-6,18-54/20-57,.333/.351,6-25/3-20,.240/.150,7-7/12-19,1.000-.632,45/31 14,1/8,22/13,0/0,8/16,15/14
