Name,GP,PF,PF/G
"#10 Ware, Nikki",21,62,3.0
"#32 Coalson, Aidan",22,56,2.5
"#15 Hall, P.K.",22,53,2.4
"#14 Lillis, Erin",22,46,2.1
"#20 Rockwell, Aiyana",22,38,1.7
"#34 Booher, Sara",22,31,1.4
"#05 Ahooja, Sofia",20,26,1.3
"#12 Tomczik, Kate",8,16,2.0
"#44 Delaney, Sophie",19,12,0.6
"#11 Carchidi, Eva",18,10,0.6
"#13 Marsh, Grace",18,10,0.6
"#25 Dougherty, Annabel",9,8,0.9
"#35 Toay, Sarah",9,7,0.8
"#23 Collier, Claire",4,4,1.0
"#21 Nyquist, Emmy",13,3,0.2
"#24 Filkins, Annie",7,2,0.3
"#42 Gubbrud, Ellie",4,2,0.5
"#45 Singleton, Aliya",8,2,0.3
"#22 Woodard, Valeriya",4,2,0.5
