Name,GP,3PM,3PA,3P%,3PM/G,3PA/G
"#10 Ware, Nikki",21,34,112,0.304,1.6,5.3
"#14 Lillis, Erin",22,27,107,0.252,1.2,4.9
"#20 Rockwell, Aiyana",22,20,67,0.299,0.9,3.0
"#11 Carchidi, Eva",18,12,51,0.235,0.7,2.8
"#44 Delaney, Sophie",19,10,35,0.286,0.5,1.8
"#15 Hall, P.K.",22,10,33,0.303,0.5,1.5
"#13 Marsh, Grace",18,8,27,0.296,0.4,1.5
"#05 Ahooja, Sofia",20,7,28,0.25,0.4,1.4
"#21 Nyquist, Emmy",13,4,7,0.571,0.3,0.5
"#32 Coalson, Aidan",22,2,11,0.182,0.1,0.5
"#24 Filkins, Annie",7,2,3,0.667,0.3,0.4
"#33 Friedman, Elena",6,2,9,0.222,0.3,1.5
"#23 Collier, Claire",4,1,2,0.5,0.3,0.5
"#12 Tomczik, Kate",8,1,6,0.167,0.1,0.8
"#25 Dougherty, Annabel",9,0,2,0.0,0.0,0.2
"#22 Woodard, Valeriya",4,0,1,0.0,0.0,0.3
