Name,GP,FGM,FGA,FG%,FGM/G,FGA/G
"#14 Lillis, Erin",22,139,359,0.387,6.3,16.3
"#10 Ware, Nikki",21,82,237,0.346,3.9,11.3
"#05 Ahooja, Sofia",20,44,116,0.379,2.2,5.8
"#32 Coalson, Aidan",22,36,83,0.434,1.6,3.8
"#15 Hall, P.K.",22,32,104,0.308,1.5,4.7
"#20 Rockwell, Aiyana",22,30,88,0.341,1.4,4.0
"#34 Booher, Sara",22,29,67,0.433,1.3,3.0
"#11 Carchidi, Eva",18,19,71,0.268,1.1,3.9
"#12 Tomczik, Kate",8,18,46,0.391,2.3,5.8
"#13 Marsh, Grace",18,16,45,0.356,0.9,2.5
"#44 Delaney, Sophie",19,11,38,0.289,0.6,2.0
"#35 Toay, Sarah",9,7,19,0.368,0.8,2.1
"#25 Dougherty, Annabel",9,6,14,0.429,0.7,1.6
"#33 Friedman, Elena",6,4,11,0.364,0.7,1.8
"#21 Nyquist, Emmy",13,4,12,0.333,0.3,0.9
"#24 Filkins, Annie",7,2,4,0.5,0.3,0.6
"#23 Collier, Claire",4,1,2,0.5,0.3,0.5
"#45 Singleton, Aliya",8,1,1,1.0,0.1,0.1
"#22 Woodard, Valeriya",4,1,3,0.333,0.3,0.8
