Statistic,High,Opponent
POINTS,80,Central (11/08/21)
FIELD GOALS MADE,31,Central (11/08/21)
FIELD GOAL ATTEMPTS,73,Lake Forest (11/20/21)
3 PT FIELD GOALS MADE,10,Lake Forest (11/20/21); Cornell College (12/08/21); Beloit (02/17/22)
3 PT FG ATTEMPTS,33,Neb. Wesleyan (11/13/21)
FREE THROWS MADE,18,Lawrence (01/15/22)
FREE THROW ATTEMPTS,28,Lake Forest (11/20/21)
REBOUNDS,53,Beloit (02/15/22)
ASSISTS,19,Lawrence (12/04/21)
STEALS,21,Central Christian (11/06/21)
BLOCKED SHOTS,8,Beloit (02/15/22)
TURNOVERS,34,Beloit (02/15/22)
FOULS,26,Lake Forest (11/20/21)
