Name,GP,AST,TO,AST/TO Ratio
"#44 Delaney, Sophie",19,8,4,2.0
"#24 Filkins, Annie",7,2,1,2.0
"#05 Ahooja, Sofia",20,55,44,1.25
"#23 Collier, Claire",4,2,2,1.0
