Name,GP,BLK,BLK/G
"#32 Coalson, Aidan",22,19,0.9
"#34 Booher, Sara",22,13,0.6
"#20 Rockwell, Aiyana",22,9,0.4
"#15 Hall, P.K.",22,8,0.4
"#10 Ware, Nikki",21,3,0.1
"#14 Lillis, Erin",22,2,0.1
"#35 Toay, Sarah",9,2,0.2
"#44 Delaney, Sophie",19,1,0.1
"#13 Marsh, Grace",18,1,0.1
"#45 Singleton, Aliya",8,1,0.1
