#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB-ATT,Bio Link
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",0.41,1.064,34-34,100,25,41,7,4,0,17,56,0.56,17,2,9,0,0.504,0,0,1-1,View Bio
18.0,"Stariha, Lydia 18 Stariha, Lydia",0.311,0.737,34-34,119,18,37,4,2,0,5,45,0.378,9,0,16,0,0.359,0,3,5-8,View Bio
5.0,"Leff, Andi 5 Leff, Andi",0.286,0.705,32-32,91,9,26,8,1,0,11,36,0.396,3,0,15,1,0.309,0,3,0-2,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",0.282,0.617,31-27,78,8,22,3,0,0,10,25,0.321,2,0,14,0,0.296,1,2,0-0,View Bio
14.0,"Murphy, Mikyla 14 Murphy, Mikyla",0.26,0.669,34-33,104,5,27,9,0,1,24,39,0.375,3,2,15,3,0.294,0,1,0-0,View Bio
8.0,"Juveland, Sage 8 Juveland, Sage",0.255,0.66,30-30,94,20,24,1,2,1,7,32,0.34,9,0,13,0,0.32,0,5,0-1,View Bio
15.0,"Jordan, Emily 15 Jordan, Emily",0.222,0.573,32-31,81,6,18,5,1,0,7,25,0.309,3,2,14,0,0.264,1,0,0-0,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",0.196,0.554,28-21,56,5,11,2,1,0,3,15,0.268,6,1,21,1,0.286,0,1,0-0,View Bio
10.0,"Litke, Sidney 10 Litke, Sidney",0.161,0.437,32-28,62,2,10,2,0,0,4,12,0.194,7,0,8,0,0.243,1,0,1-1,View Bio
21.0,"Gardner, Megan 21 Gardner, Megan",0.333,0.802,11-3,12,1,4,1,0,0,1,5,0.417,1,0,3,0,0.385,0,0,0-0,View Bio
9.0,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",0.247,0.626,25-25,77,6,19,4,1,0,6,25,0.325,5,1,11,0,0.301,0,3,0-0,View Bio
6.0,"Seibert, Lily 6 Seibert, Lily",0.182,0.614,20-8,11,1,2,2,0,0,3,4,0.364,1,0,5,0,0.25,0,1,0-0,View Bio
11.0,"Gibson, Megan 11 Gibson, Megan",0.146,0.478,34-32,41,6,6,1,0,1,5,10,0.244,4,1,8,0,0.234,1,3,0-0,View Bio
12.0,"Brown, Sydnee 12 Brown, Sydnee",0.0,0.5,3-0,1,0,0,0,0,0,0,0,0.0,1,0,1,0,0.5,0,0,0-0,View Bio
,27  27,0.0,0.0,1-0,1,0,0,0,0,0,0,0,0.0,0,0,1,0,0.0,0,0,0-0,
4.0,"Thomson, Abigail 4 Thomson, Abigail",0.0,0.0,6-2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,2,0-0,View Bio
,Totals,0.266,0.678,34-34,928,112,247,49,12,3,103,329,0.355,71,9,154,5,0.323,4,24,7-13,
,Opponents,0.309,0.73,34-34,968,152,299,51,6,9,134,389,0.402,32,0,61,6,0.328,10,26,28-33,
