#,Player,C,PO,A,E,FLD%,DP,SBA,CSB,PB,CI,Bio Link
14.0,"Murphy, Mikyla 14 Murphy, Mikyla",15,15,0,0,1.0,2,0,0,0,0,View Bio
4.0,"Thomson, Abigail 4 Thomson, Abigail",2,2,0,0,1.0,0,0,0,0,0,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",110,94,15,1,0.991,2,18,2,0,0,View Bio
11.0,"Gibson, Megan 11 Gibson, Megan",183,170,8,5,0.973,4,0,0,0,0,View Bio
8.0,"Juveland, Sage 8 Juveland, Sage",65,59,4,2,0.969,0,0,0,0,0,View Bio
15.0,"Jordan, Emily 15 Jordan, Emily",78,64,11,3,0.962,0,26,3,1,0,View Bio
5.0,"Leff, Andi 5 Leff, Andi",47,43,2,2,0.957,1,0,0,0,0,View Bio
9.0,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",128,64,58,6,0.953,8,0,0,0,0,View Bio
6.0,"Seibert, Lily 6 Seibert, Lily",39,30,7,2,0.949,0,0,0,0,0,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",50,17,30,3,0.94,0,10,3,0,0,View Bio
18.0,"Stariha, Lydia 18 Stariha, Lydia",177,59,107,11,0.938,5,0,0,0,0,View Bio
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",109,30,72,7,0.936,1,0,0,0,0,View Bio
21.0,"Gardner, Megan 21 Gardner, Megan",10,8,1,1,0.9,0,2,1,0,0,View Bio
10.0,"Litke, Sidney 10 Litke, Sidney",45,34,5,6,0.867,0,0,0,0,0,View Bio
12.0,"Brown, Sydnee 12 Brown, Sydnee",0,0,0,0,0.0,0,0,0,0,0,View Bio
27.0,27  27 27,0,0,0,0,0.0,0,0,0,0,0,
,Totals,1058,689,320,49,0.954,10,56,9,1,0,
,Opponents,1019,696,275,48,0.953,12,14,12,12,0,
