Date,Loc,Opponent,W/L,Score,IP,H,R,ER,BB,SO,2B,3B,HR,WP,BK,HBP,IBB,W,L,SV,ERA
3/4/2017,vs,Macalester College,L,1-2,7.0,4,2,1,0,1,1,0,0,0,0,0,0,0,1,0,1.0
3/4/2017,vs,Gustavus Adolphus,L,0-7,6.0,12,7,4,1,0,5,0,0,1,0,0,0,0,2,0,4.67
3/20/2017,vs,St. Olaf,L,0-2,6.0,7,2,1,1,2,0,1,0,0,0,0,0,0,3,0,1.17
3/20/2017,vs,Oberlin College,W,5-2,7.0,12,2,1,0,3,1,0,1,1,0,0,0,1,3,1,1.0
3/21/2017,vs,Carthage,L,2-6,7.0,8,6,5,0,3,2,0,1,1,0,0,0,1,4,0,5.0
3/23/2017,vs,D'Youville,L,1-6,7.0,11,6,2,0,3,0,0,0,0,0,0,0,1,5,0,2.0
3/23/2017,vs,Oberlin College,W,6-4,7.0,9,4,4,1,1,1,1,0,0,0,0,0,2,5,0,4.0
3/24/2017,vs,Carleton,L,0-4,6.0,8,4,4,1,5,2,0,1,0,0,0,0,2,6,0,4.67
3/28/2017,,Central College,L,0-6,7.0,11,6,6,3,1,1,1,0,0,0,0,0,2,7,0,6.0
3/28/2017,,Central College,L,1-9,6.0,16,9,7,0,2,1,0,0,0,0,0,0,2,8,0,8.17
4/1/2017,,Knox College,W,7-0,7.0,4,0,0,0,0,0,0,0,0,0,0,0,3,8,0,0.0
4/1/2017,,Knox College,W,5-2,7.0,5,2,1,1,0,2,0,0,0,0,0,0,4,8,0,1.0
4/6/2017,,Loras College,L,7-9,7.0,14,9,7,1,3,3,0,1,0,0,0,0,4,9,0,7.0
4/6/2017,,Loras College,L,2-8,7.0,12,8,5,2,3,1,1,0,0,0,0,0,4,10,0,5.0
4/8/2017,at,Lawrence University,W,9-1,7.0,6,1,0,4,2,1,0,0,0,0,0,0,5,10,0,0.0
4/8/2017,at,Lawrence University,L,2-3,6.0,7,3,3,1,0,1,0,0,0,0,0,0,5,11,0,3.5
4/9/2017,at,Lake Forest College,L,2-8,6.0,9,8,7,2,3,0,0,2,2,0,0,0,5,12,0,8.17
4/9/2017,at,Lake Forest College,L,4-5,6.0,6,5,2,0,3,1,0,1,0,0,0,0,5,13,0,2.33
4/13/2017,,Iowa Wesleyan Univ.,W,5-1,7.0,6,1,0,0,1,0,0,0,0,0,0,0,6,13,0,0.0
4/13/2017,,Iowa Wesleyan Univ.,W,4-0,7.0,3,0,0,0,4,0,0,0,0,0,0,0,7,13,0,0.0
4/15/2017,at,Illinois College,L,2-5,6.0,9,5,4,2,1,0,0,0,1,0,0,0,7,14,0,4.67
4/15/2017,at,Illinois College,W,6-1,7.0,4,1,0,2,1,0,0,0,0,0,0,0,8,14,0,0.0
4/18/2017,,Monmouth College,L,0-4,7.0,6,4,3,2,1,1,0,1,0,0,0,0,8,15,0,3.0
4/18/2017,,Monmouth College,L,5-6,14.0,15,6,6,1,2,5,0,1,0,0,0,0,8,16,0,3.0
4/22/2017,,Beloit College,W,5-0,7.0,2,0,0,1,5,0,0,0,0,0,0,0,9,16,0,0.0
4/22/2017,,Beloit College,W,16-2,5.0,6,2,2,1,4,4,0,0,0,0,0,0,10,16,0,2.8
4/23/2017,,Ripon College,L,6-9,7.0,13,9,6,1,1,3,0,0,1,0,0,0,10,17,0,6.0
4/23/2017,,Ripon College,W,3-2,7.0,6,2,2,0,0,1,0,0,0,0,0,0,11,17,0,2.0
4/25/2017,at,Cornell College,L,3-11,5.2,16,11,9,1,3,5,0,0,1,0,0,0,11,18,0,11.12
4/25/2017,at,Cornell College,L,0-8,5.1,14,8,7,1,0,3,0,0,0,0,0,0,11,19,0,9.19
4/29/2017,at,St. Norbert College,L,2-3,7.2,11,3,3,0,2,0,1,0,0,0,0,0,11,20,0,2.74
4/29/2017,at,St. Norbert College,L,0-9,6.0,14,9,4,1,0,4,1,0,1,0,0,0,11,21,0,4.67
5/2/2017,at,Mount Mercy Univ.,L,0-4,6.0,6,4,1,1,0,1,0,0,0,0,0,0,11,22,0,1.17
5/2/2017,at,Mount Mercy Univ.,L,1-3,6.0,7,3,3,0,1,1,0,0,0,0,0,0,11,23,0,3.5
Total,,,,112-152,228.5,299,152,110,32,61,51,6,9,9,0,0,0,11,23,1,
