Statistic,High,Opponent
AT BATS,48,Monmouth College (4/18/2017)
RUNS SCORED,16,Beloit College (4/22/2017)
HITS,16,Beloit College (4/22/2017)
RBIS,15,Beloit College (4/22/2017)
DOUBLES,5,Lawrence University (4/8/2017)
TRIPLES,2,Oberlin College (3/20/2017); Beloit College (4/22/2017); Beloit College (4/22/2017)
HOME RUNS,1,Ripon College (4/23/2017); Ripon College (4/23/2017); Cornell College (4/25/2017)
WALKS,7,Ripon College (4/23/2017)
STRIKEOUTS,19,St. Olaf (3/20/2017)
SAC HITS,3,Monmouth College (4/18/2017); Beloit College (4/22/2017)
SAC FLIES,1,Knox College (4/1/2017); Knox College (4/1/2017); Beloit College (4/22/2017); Beloit College (4/22/2017)
STOLEN BASES,2,Knox College (4/1/2017)
HIT BY PITCH,3,Oberlin College (3/23/2017)
CAUGHT STEALING,1,Macalester College (3/4/2017); Loras College (4/6/2017); Iowa Wesleyan Univ. (4/13/2017); Beloit College (4/22/2017); Gustavus Adolphus (3/4/2017)
HIT INTO DP,1,Central College (3/28/2017); Central College (3/28/2017); Knox College (4/1/2017); Loras College (4/6/2017); Monmouth College (4/18/2017)
