Statistic,High,Player,Opponent
AT BATS,6,Lydia Stariha,Monmouth College (4/18/2017)
RUNS SCORED,3,Kayla Morrissey,Knox College (4/1/2017); Beloit College (4/22/2017); Lawrence University (4/8/2017)
HITS,4,Lydia Stariha; Kayla Morrissey,Knox College (4/1/2017); Lawrence University (4/8/2017)
RBIS,4,Andi Leff,Beloit College (4/22/2017)
DOUBLES,2,Kayla Morrissey; Mikyla Murphy; Andi Leff,Central College (3/28/2017); Loras College (4/6/2017); Monmouth College (4/18/2017); Illinois College (4/15/2017)
TRIPLES,1,Kayla Morrissey; Lydia Stariha; Sage Juveland; Ashley Wehrenberg,Oberlin College (3/20/2017); Knox College (4/1/2017); Knox College (4/1/2017); Loras College (4/6/2017); Beloit College (4/22/2017)
HOME RUNS,1,Mikyla Murphy; Megan Gibson; Sage Juveland,Ripon College (4/23/2017); Ripon College (4/23/2017); Cornell College (4/25/2017)
WALKS,3,Kayla Morrissey,Beloit College (4/22/2017)
STRIKEOUTS,5,Melissa Anderson,Monmouth College (4/18/2017)
SAC HITS,2,Sage Juveland,Monmouth College (4/18/2017)
SAC FLIES,1,Emily Jordan; Sidney Litke; Maggie Remus; Megan Gibson,Knox College (4/1/2017); Knox College (4/1/2017); Beloit College (4/22/2017); Beloit College (4/22/2017)
STOLEN BASES,1,Lydia Stariha; Kayla Morrissey,Oberlin College (3/20/2017); Knox College (4/1/2017); Iowa Wesleyan Univ. (4/13/2017); Beloit College (4/22/2017); Ripon College (4/23/2017)
HIT BY PITCH,2,Emily Jordan,Oberlin College (3/23/2017)
CAUGHT STEALING,1,Sage Juveland; Lydia Stariha; Andi Leff,Macalester College (3/4/2017); Loras College (4/6/2017); Iowa Wesleyan Univ. (4/13/2017); Beloit College (4/22/2017); Gustavus Adolphus (3/4/2017)
HIT INTO DP,1,Mikyla Murphy; Ashley Wehrenberg; Sage Juveland; Andi Leff; Emily Jordan,Central College (3/28/2017); Central College (3/28/2017); Knox College (4/1/2017); Loras College (4/6/2017); Monmouth College (4/18/2017)
