#,Player,AVG,OPS,GP-GS,AB,R,H,2B,3B,HR,RBI,TB,SLG%,BB,HBP,SO,GDP,OB%,SF,SH,SB,Bio Link
22.0,"Morrissey, Kayla 22 Morrissey, Kayla",0.5,1.315,20-20,58,19,29,4,4,0,15,41,0.707,14,2,3,0,0.608,0,0,1-1,View Bio
21.0,"Gardner, Megan 21 Gardner, Megan",0.429,1.0,7-0,7,1,3,1,0,0,1,4,0.571,0,0,1,0,0.429,0,0,0-0,View Bio
18.0,"Stariha, Lydia 18Stariha, Lydia",0.338,0.796,20-20,74,14,25,3,2,0,4,32,0.432,3,0,6,0,0.364,0,3,4-5,View Bio
9.0,"Wehrenberg, Ashley 9 Wehrenberg, Ashley",0.308,0.745,13-13,39,4,12,2,0,0,4,14,0.359,4,1,3,0,0.386,0,3,0-0,View Bio
8.0,"Juveland, Sage 8Juveland, Sage",0.305,0.81,18-18,59,16,18,1,2,1,7,26,0.441,6,0,7,0,0.369,0,4,0-0,View Bio
14.0,"Murphy, Mikyla 14 Murphy, Mikyla",0.302,0.787,20-20,63,3,19,6,0,1,18,28,0.444,3,1,6,2,0.343,0,1,0-0,View Bio
17.0,"Remus, Maggie 17 Remus, Maggie",0.296,0.668,19-18,54,7,16,3,0,0,7,19,0.352,2,0,8,0,0.316,1,2,0-0,View Bio
5.0,"Leff, Andi 5 Leff, Andi",0.292,0.728,20-20,65,7,19,6,1,0,10,27,0.415,2,0,7,0,0.313,0,2,0-1,View Bio
6.0,"Seibert, Lily 6 Seibert, Lily",0.286,0.946,12-4,7,1,2,2,0,0,3,4,0.571,1,0,2,0,0.375,0,0,0-0,View Bio
2.0,"Anderson, Melissa 2 Anderson, Melissa",0.237,0.626,17-12,38,3,9,1,1,0,3,12,0.316,4,0,11,1,0.31,0,1,0-0,View Bio
11.0,"Gibson, Megan 11Gibson, Megan",0.182,0.633,20-19,22,5,4,1,0,1,5,8,0.364,2,1,4,0,0.269,1,1,0-0,View Bio
15.0,"Jordan, Emily 15 Jordan, Emily",0.176,0.459,20-20,51,6,9,2,1,0,5,13,0.255,0,2,5,0,0.204,1,0,0-0,View Bio
10.0,"Litke, Sidney 10 Litke, Sidney",0.103,0.332,18-15,29,2,3,0,0,0,1,3,0.103,5,0,3,0,0.229,1,0,1-1,View Bio
12.0,"Brown, Sydnee 12 Brown, Sydnee",0.0,1.0,1-0,0,0,0,0,0,0,0,0,0.0,1,0,0,0,1.0,0,0,0-0,View Bio
4.0,"Thomson, Abigail 4 Thomson, Abigail",0.0,0.0,4-1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0,1,0-0,View Bio
,Totals,0.297,0.764,20-20,566,88,168,32,11,3,83,231,0.408,47,7,66,3,0.356,4,18,6-8,
,Opponents,0.302,0.725,20-20,576,85,174,33,3,6,76,231,0.401,22,0,32,3,0.324,7,17,13-15,
