Statistic,High,Opponent
PUTOUTS,42,Monmouth College (4/18/2017)
ASSISTS,24,Monmouth College (4/18/2017)
ERRORS,3,Central College (3/28/2017); St. Norbert College (4/29/2017); Cornell College (4/25/2017); Cornell College (4/25/2017)
PASSED BALLS,1,Lake Forest College (4/9/2017)
DPS TURNED,2,Central College (3/28/2017); Iowa Wesleyan Univ. (4/13/2017)
