Statistic,High,Player,Opponent
INNINGS PITCHED,14.0,Melissa Anderson,Monmouth College (4/18/2017)
RUNS ALLOWED,11.0,Maggie Remus,Cornell College (4/25/2017)
EARNED RUNS,9.0,Maggie Remus,Cornell College (4/25/2017)
WALKS ALLOWED,4.0,Melissa Anderson,Lawrence University (4/8/2017)
STRIKEOUTS,5.0,Maggie Remus; Melissa Anderson,Beloit College (4/22/2017); Carleton (3/24/2017)
HITS ALLOWED,16.0,Maggie Remus,Central College (3/28/2017); Cornell College (4/25/2017)
DOUBLES ALLOWED,5.0,Melissa Anderson; Maggie Remus,Monmouth College (4/18/2017); Gustavus Adolphus (3/4/2017); Cornell College (4/25/2017)
TRIPLES ALLOWED,1.0,Melissa Anderson; Maggie Remus,Central College (3/28/2017); Loras College (4/6/2017); St. Norbert College (4/29/2017); St. Olaf (3/20/2017); Oberlin College (3/23/2017)
HOME RUNS ALLOWED,2.0,Anderson,Lake Forest College (4/9/2017)
WILD PITCHES,2.0,Anderson,Lake Forest College (4/9/2017)
