Player,Longest,Current
"Juveland, Sage",8,-
"Stariha, Lydia",8,2
"Morrissey, Kayla",8,-
"Wehrenberg, Ashley",7,-
"Leff, Andi",6,-
"Litke, Sidney",6,-
"Remus, Maggie",6,-
"Anderson, Melissa",5,-
"Murphy, Mikyla",5,-
"Gibson, Megan",4,1
"Gardner, Megan",4,4
"Jordan, Emily",3,-
"Seibert, Lily",2,-
"Brown, Sydnee",1,-
