Player,2,3,4,5+,Total
"Morrissey, Kayla",9,3,1,-,13
"Stariha, Lydia",6,4,1,-,11
"Leff, Andi",6,1,-,-,7
"Murphy, Mikyla",5,2,-,-,7
"Juveland, Sage",4,-,-,-,4
"Anderson, Melissa",3,-,-,-,3
"Wehrenberg, Ashley",1,2,-,-,3
"Jordan, Emily",2,1,-,-,3
"Remus, Maggie",1,2,-,-,3
"Litke, Sidney",1,-,-,-,1
TEAM,38,15,2,0,55
