Year,Gender,Scores,Rank,School,Sport
2003,Women,5.5,5,St. Norbert College,Softball
2003,Women,7,4,St. Norbert College,Track & Field (Outdoor)
2003,Women,73,1,St. Norbert College,Total
2004,Men,3,8,Beloit College,Football
2004,Men,7,3,Beloit College,Soccer
2004,Men,6.5,4,Beloit College,Cross Country
2004,Men,2.5,6,Beloit College,Basketball
2004,Men,6,5,Beloit College,Swimming & Diving
2004,Men,4,7,Beloit College,Track & Field (Indoor)
2004,Men,3,7,Beloit College,Tennis
2004,Men,5,5,Beloit College,Baseball
2004,Men,5,6,Beloit College,Track & Field (Outdoor)
2004,Men,45.5,6,Beloit College,Total
2004,Men,4,7,Carroll University,Football
2004,Men,9,2,Carroll University,Soccer
2004,Men,2,9,Carroll University,Cross Country
2004,Men,7.5,2,Carroll University,Basketball
2004,Men,5,6,Carroll University,Swimming & Diving
2004,Men,2.5,8,Carroll University,Track & Field (Indoor)
2004,Men,2,8,Carroll University,Tennis
2004,Men,2.5,8,Carroll University,Baseball
2004,Men,2,9,Carroll University,Track & Field (Outdoor)
2004,Men,43.5,7,Carroll University,Total
2004,Men,6.5,4,Grinnell College,Football
2004,Men,4,7,Grinnell College,Soccer
2004,Men,10,1,Grinnell College,Cross Country
2004,Men,2.5,6,Grinnell College,Basketball
2004,Men,10,1,Grinnell College,Swimming & Diving
2004,Men,5,5,Grinnell College,Track & Field (Indoor)
2004,Men,10,1,Grinnell College,Tennis
2004,Men,5,5,Grinnell College,Baseball
2004,Men,8,3,Grinnell College,Track & Field (Outdoor)
2004,Men,69,3,Grinnell College,Total
2004,Men,6.5,4,Illinois College,Football
2004,Men,3,8,Illinois College,Soccer
2004,Men,1,10,Illinois College,Cross Country
2004,Men,2.5,6,Illinois College,Basketball
2004,Men,7.5,3,Illinois College,Track & Field (Indoor)
2004,Men,1,9,Illinois College,Tennis
2004,Men,7.5,3,Illinois College,Baseball
2004,Men,4,7,Illinois College,Track & Field (Outdoor)
2004,Men,35.5,10,Illinois College,Total
2004,Men,1.5,9,Knox College,Football
2004,Men,2,9,Knox College,Soccer
2004,Men,3,8,Knox College,Cross Country
2004,Men,5,5,Knox College,Basketball
2004,Men,4,7,Knox College,Swimming & Diving
2004,Men,2.5,8,Knox College,Track & Field (Indoor)
2004,Men,7,4,Knox College,Tennis
2004,Men,2.5,8,Knox College,Baseball
2004,Men,3,8,Knox College,Track & Field (Outdoor)
2004,Men,40,8,Knox College,Total
2004,Men,8,3,Lake Forest College,Football
2004,Men,7,3,Lake Forest College,Soccer
2004,Men,4,7,Lake Forest College,Cross Country
2004,Men,7.5,2,Lake Forest College,Basketball
2004,Men,8,3,Lake Forest College,Swimming & Diving
2004,Men,4,6,Lake Forest College,Tennis
2004,Men,38.5,9,Lake Forest College,Total
2004,Men,1.5,9,Lawrence University,Football
2004,Men,7,3,Lawrence University,Soccer
2004,Men,5,6,Lawrence University,Cross Country
2004,Men,1,10,Lawrence University,Basketball
2004,Men,9,2,Lawrence University,Swimming & Diving
2004,Men,5,5,Lawrence University,Track & Field (Indoor)
2004,Men,5,5,Lawrence University,Tennis
2004,Men,5,5,Lawrence University,Baseball
2004,Men,7,4,Lawrence University,Track & Field (Outdoor)
2004,Men,64.5,4,Lawrence University,Total
2004,Men,9,2,Monmouth College,Football
2004,Men,1,10,Monmouth College,Soccer
2004,Men,9,2,Monmouth College,Cross Country
2004,Men,6,4,Monmouth College,Basketball
2004,Men,7,4,Monmouth College,Swimming & Diving
2004,Men,10,1,Monmouth College,Track & Field (Indoor)
2004,Men,7.5,3,Monmouth College,Baseball
2004,Men,10,1,Monmouth College,Track & Field (Outdoor)
2004,Men,73.5,1,Monmouth College,Total
2004,Men,5,6,Ripon College,Football
