Year,Gender,Scores,Rank,School,Sport
2006,Men,10,1,Grinnell College,Swimming & Diving
2006,Men,6,5,Grinnell College,Track & Field (Indoor)
2006,Men,10,1,Grinnell College,Tennis
2006,Men,7,4,Grinnell College,Track & Field (Outdoor)
2006,Men,3.5,7,Grinnell College,Baseball
2006,Men,74,2,Grinnell College,Total
2006,Men,7,4,Illinois College,Football
2006,Men,4,7,Illinois College,Soccer
2006,Men,4,7,Illinois College,Cross Country
2006,Men,1.5,9,Illinois College,Basketball
2006,Men,9,2,Illinois College,Track & Field (Indoor)
2006,Men,1,10,Illinois College,Tennis
2006,Men,9,2,Illinois College,Track & Field (Outdoor)
2006,Men,7,4,Illinois College,Baseball
2006,Men,45.5,7,Illinois College,Total
2006,Men,2,9,Knox College,Football
2006,Men,1,10,Knox College,Soccer
2006,Men,2,9,Knox College,Cross Country
2006,Men,1.5,9,Knox College,Basketball
2006,Men,3,8,Knox College,Swimming & Diving
2006,Men,2,9,Knox College,Track & Field (Indoor)
2006,Men,5,6,Knox College,Tennis
2006,Men,2,9,Knox College,Track & Field (Outdoor)
2006,Men,5.5,5,Knox College,Baseball
2006,Men,33,10,Knox College,Total
2006,Men,6,5,Lake Forest College,Football
2006,Men,5,6,Lake Forest College,Soccer
2006,Men,3,8,Lake Forest College,Cross Country
2006,Men,7,4,Lake Forest College,Basketball
2006,Men,8,3,Lake Forest College,Swimming & Diving
2006,Men,6,5,Lake Forest College,Tennis
2006,Men,35,9,Lake Forest College,Total
2006,Men,4.5,6,Lawrence University,Football
2006,Men,6.5,4,Lawrence University,Soccer
2006,Men,5,6,Lawrence University,Cross Country
2006,Men,6,5,Lawrence University,Basketball
2006,Men,7,4,Lawrence University,Swimming & Diving
2006,Men,3,8,Lawrence University,Track & Field (Indoor)
2006,Men,4,7,Lawrence University,Tennis
2006,Men,3,8,Lawrence University,Track & Field (Outdoor)
2006,Men,3.5,7,Lawrence University,Baseball
2006,Men,47.5,6,Lawrence University,Total
2006,Men,8.5,2,Monmouth College,Football
2006,Men,3,8,Monmouth College,Soccer
2006,Men,9.5,1,Monmouth College,Cross Country
2006,Men,4,7,Monmouth College,Basketball
2006,Men,9,2,Monmouth College,Swimming & Diving
2006,Men,10,1,Monmouth College,Track & Field (Indoor)
2006,Men,7,4,Monmouth College,Tennis
2006,Men,10,1,Monmouth College,Track & Field (Outdoor)
2006,Men,8,3,Monmouth College,Baseball
2006,Men,79,1,Monmouth College,Total
2006,Men,8.5,2,Ripon College,Football
2006,Men,2,9,Ripon College,Soccer
2006,Men,6,5,Ripon College,Cross Country
2006,Men,8,3,Ripon College,Basketball
2006,Men,4,7,Ripon College,Swimming & Diving
2006,Men,5,6,Ripon College,Track & Field (Indoor)
2006,Men,9,2,Ripon College,Tennis
2006,Men,5,6,Ripon College,Track & Field (Outdoor)
2006,Men,10,1,Ripon College,Baseball
2006,Men,61.5,4,Ripon College,Total
2006,Men,10,1,St. Norbert College,Football
2006,Men,9,2,St. Norbert College,Soccer
2006,Men,8,3,St. Norbert College,Cross Country
2006,Men,5,6,St. Norbert College,Basketball
2006,Men,8,3,St. Norbert College,Track & Field (Indoor)
2006,Men,8,3,St. Norbert College,Tennis
2006,Men,8,3,St. Norbert College,Track & Field (Outdoor)
2006,Men,9,2,St. Norbert College,Baseball
2006,Men,71,3,St. Norbert College,Total
2006,Women,10,1,Beloit College,Volleyball
2006,Women,5,6,Beloit College,Soccer
2006,Women,8,3,Beloit College,Cross Country
2006,Women,7,4,Beloit College,Tennis
2006,Women,6,5,Beloit College,Basketball
2006,Women,5,6,Beloit College,Swimming & Diving
2006,Women,7,4,Beloit College,Track & Field (Indoor)
2006,Women,8,3,Beloit College,Track & Field (Outdoor)
2006,Women,59.5,5,Beloit College,Total
2006,Women,7.5,2,Carroll University,Volleyball
2006,Women,9,2,Carroll University,Soccer
2006,Women,4,7,Carroll University,Cross Country
2006,Women,5,6,Carroll University,Tennis
2006,Women,9,2,Carroll University,Basketball
2006,Women,8,3,Carroll University,Swimming & Diving
2006,Women,9,2,Carroll University,Track & Field (Indoor)
2006,Women,9,2,Carroll University,Track & Field (Outdoor)
2006,Women,66,3,Carroll University,Total
2006,Women,1,10,Grinnell College,Volleyball
2006,Women,10,1,Grinnell College,Soccer
2006,Women,10,1,Grinnell College,Cross Country
2006,Women,10,1,Grinnell College,Tennis
2006,Women,3,7,Grinnell College,Basketball
2006,Women,10,1,Grinnell College,Swimming & Diving
2006,Women,5,6,Grinnell College,Track & Field (Indoor)
2006,Women,5,6,Grinnell College,Track & Field (Outdoor)
2006,Women,66.5,2,Grinnell College,Total
2006,Women,7.5,2,Illinois College,Volleyball
2006,Women,3,7,Illinois College,Soccer
2006,Women,2,9,Illinois College,Cross Country
2006,Women,0,10,Illinois College,Tennis
2006,Women,3,7,Illinois College,Basketball
2006,Women,6,5,Illinois College,Track & Field (Indoor)
2006,Women,4,7,Illinois College,Track & Field (Outdoor)
2006,Women,42.5,9,Illinois College,Total
2006,Women,2,9,Knox College,Volleyball
2006,Women,1,10,Knox College,Soccer
2006,Women,1,10,Knox College,Cross Country
2006,Women,3,8,Knox College,Tennis
2006,Women,1,10,Knox College,Basketball
2006,Women,2,9,Knox College,Swimming & Diving
2006,Women,2,9,Knox College,Track & Field (Indoor)
2006,Women,2,9,Knox College,Track & Field (Outdoor)
2006,Women,20.5,10,Knox College,Total
2006,Women,7.5,2,Lake Forest College,Volleyball
2006,Women,7,4,Lake Forest College,Soccer
2006,Women,7,4,Lake Forest College,Cross Country
2006,Women,8,3,Lake Forest College,Tennis
2006,Women,10,1,Lake Forest College,Basketball
2006,Women,6,5,Lake Forest College,Swimming & Diving
2006,Women,54.5,6,Lake Forest College,Total
2006,Women,3,8,Lawrence University,Volleyball
2006,Women,3,7,Lawrence University,Soccer
2006,Women,3,8,Lawrence University,Cross Country
2006,Women,6,5,Lawrence University,Tennis
2006,Women,7.5,3,Lawrence University,Basketball
2006,Women,9,2,Lawrence University,Swimming & Diving
2006,Women,3,8,Lawrence University,Track & Field (Indoor)
2006,Women,3,8,Lawrence University,Track & Field (Outdoor)
2006,Women,43,8,Lawrence University,Total
2006,Women,5,6,Monmouth College,Volleyball
2006,Women,6,5,Monmouth College,Soccer
2006,Women,6,5,Monmouth College,Cross Country
2006,Women,4,7,Monmouth College,Tennis
2006,Women,5,6,Monmouth College,Basketball
2006,Women,7,4,Monmouth College,Swimming & Diving
2006,Women,10,1,Monmouth College,Track & Field (Indoor)
2006,Women,10,1,Monmouth College,Track & Field (Outdoor)
2006,Women,65.5,4,Monmouth College,Total
2006,Women,4,7,Ripon College,Volleyball
2006,Women,3,7,Ripon College,Soccer
2006,Women,9,2,Ripon College,Cross Country
2006,Women,2,9,Ripon College,Tennis
2006,Women,3,7,Ripon College,Basketball
2006,Women,4,7,Ripon College,Swimming & Diving
2006,Women,4,7,Ripon College,Track & Field (Indoor)
2006,Women,7,4,Ripon College,Track & Field (Outdoor)
2006,Women,50,7,Ripon College,Total
2006,Women,7.5,2,St. Norbert College,Volleyball
2006,Women,8,3,St. Norbert College,Soccer
2006,Women,5,6,St. Norbert College,Cross Country
2006,Women,9,2,St. Norbert College,Tennis
2006,Women,7.5,3,St. Norbert College,Basketball
2006,Women,3,8,St. Norbert College,Swimming & Diving
2006,Women,8,3,St. Norbert College,Track & Field (Indoor)
2006,Women,6,5,St. Norbert College,Track & Field (Outdoor)
2006,Women,72,1,St. Norbert College,Total
2007,Men,1.5,9,Beloit College,Football
2007,Men,6.5,4,Beloit College,Soccer
2007,Men,4.5,6,Beloit College,Cross Country
2007,Men,1,10,Beloit College,Basketball
2007,Men,4,7,Beloit College,Swimming & Diving
2007,Men,4,7,Beloit College,Track & Field (Indoor)
2007,Men,2,9,Beloit College,Tennis
2007,Men,4,7,Beloit College,Track & Field (Outdoor)
2007,Men,2,9,Beloit College,Baseball
2007,Men,31.5,10,Beloit College,Total
2007,Men,6.5,4,Carroll University,Football
2007,Men,9,2,Carroll University,Soccer
2007,Men,6,5,Carroll University,Cross Country
2007,Men,7.5,3,Carroll University,Basketball
2007,Men,6,5,Carroll University,Swimming & Diving
2007,Men,7.5,3,Carroll University,Track & Field (Indoor)
2007,Men,4,7,Carroll University,Tennis
2007,Men,7,4,Carroll University,Track & Field (Outdoor)
2007,Men,5,5,Carroll University,Baseball
2007,Men,64.5,4,Carroll University,Total
2007,Men,1.5,9,Grinnell College,Football
2007,Men,8,3,Grinnell College,Soccer
2007,Men,10,1,Grinnell College,Cross Country
2007,Men,9,2,Grinnell College,Basketball
2007,Men,10,1,Grinnell College,Swimming & Diving
2007,Men,5,6,Grinnell College,Track & Field (Indoor)
2007,Men,10,1,Grinnell College,Tennis
2007,Men,6,5,Grinnell College,Track & Field (Outdoor)
2007,Men,5,5,Grinnell College,Baseball
2007,Men,72.5,2,Grinnell College,Total
2007,Men,4.5,6,Illinois College,Football
2007,Men,1.5,9,Illinois College,Soccer
2007,Men,1.5,9,Illinois College,Cross Country
2007,Men,2,9,Illinois College,Basketball
2007,Men,2,9,Illinois College,Swimming & Diving
2007,Men,9,2,Illinois College,Track & Field (Indoor)
2007,Men,1,10,Illinois College,Tennis
2007,Men,9,2,Illinois College,Track & Field (Outdoor)
2007,Men,5,5,Illinois College,Baseball
2007,Men,38.5,8,Illinois College,Total
2007,Men,3,8,Knox College,Football
2007,Men,3,8,Knox College,Soccer
2007,Men,3,8,Knox College,Cross Country
2007,Men,5,5,Knox College,Basketball
2007,Men,3,8,Knox College,Swimming & Diving
2007,Men,3,8,Knox College,Track & Field (Indoor)
2007,Men,3,8,Knox College,Tennis
2007,Men,3,8,Knox College,Track & Field (Outdoor)
2007,Men,10,1,Knox College,Baseball
2007,Men,46,7,Knox College,Total
2007,Men,6.5,4,Lake Forest College,Football
2007,Men,4,7,Lake Forest College,Soccer
2007,Men,4.5,6,Lake Forest College,Cross Country
2007,Men,5,5,Lake Forest College,Basketball
2007,Men,8,3,Lake Forest College,Swimming & Diving
2007,Men,9,2,Lake Forest College,Tennis
2007,Men,37,9,Lake Forest College,Total
2007,Men,4.5,6,Lawrence University,Football
2007,Men,6.5,4,Lawrence University,Soccer
2007,Men,1.5,9,Lawrence University,Cross Country
2007,Men,10,1,Lawrence University,Basketball
2007,Men,7,4,Lawrence University,Swimming & Diving
2007,Men,2,9,Lawrence University,Track & Field (Indoor)
2007,Men,7,4,Lawrence University,Tennis
2007,Men,2,9,Lawrence University,Track & Field (Outdoor)
2007,Men,3,8,Lawrence University,Baseball
2007,Men,49.5,6,Lawrence University,Total
2007,Men,8.5,2,Monmouth College,Football
2007,Men,1.5,9,Monmouth College,Soccer
2007,Men,8,3,Monmouth College,Cross Country
2007,Men,5,5,Monmouth College,Basketball
2007,Men,9,2,Monmouth College,Swimming & Diving
2007,Men,10,1,Monmouth College,Track & Field (Indoor)
2007,Men,6,5,Monmouth College,Tennis
2007,Men,10,1,Monmouth College,Track & Field (Outdoor)
2007,Men,7,4,Monmouth College,Baseball
2007,Men,74,1,Monmouth College,Total
2007,Men,8.5,2,Ripon College,Football
2007,Men,5,6,Ripon College,Soccer
2007,Men,7,4,Ripon College,Cross Country
2007,Men,3,8,Ripon College,Basketball
2007,Men,5,6,Ripon College,Swimming & Diving
2007,Men,6,5,Ripon College,Track & Field (Indoor)
2007,Men,5,6,Ripon College,Tennis
2007,Men,5,6,Ripon College,Track & Field (Outdoor)
2007,Men,9,2,Ripon College,Baseball
2007,Men,59.5,5,Ripon College,Total
2007,Men,10,1,St. Norbert College,Football
2007,Men,10,1,St. Norbert College,Soccer
2007,Men,9,2,St. Norbert College,Cross Country
2007,Men,7.5,3,St. Norbert College,Basketball
2007,Men,7.5,3,St. Norbert College,Track & Field (Indoor)
2007,Men,8,3,St. Norbert College,Tennis
2007,Men,8,3,St. Norbert College,Track & Field (Outdoor)
2007,Men,8,3,St. Norbert College,Baseball
2007,Men,72,3,St. Norbert College,Total
2007,Women,7,3,Beloit College,Volleyball
2007,Women,5,6,Beloit College,Soccer
2007,Women,7,4,Beloit College,Cross Country
2007,Women,6,5,Beloit College,Tennis
2007,Women,7.5,3,Beloit College,Basketball
2007,Women,7,4,Beloit College,Swimming & Diving
2007,Women,6,5,Beloit College,Track & Field (Indoor)
2007,Women,7,4,Beloit College,Track & Field (Outdoor)
2007,Women,54,5,Beloit College,Total
2007,Women,9.5,1,Carroll University,Volleyball
2007,Women,10,1,Carroll University,Soccer
2007,Women,9,2,Carroll University,Cross Country
2007,Women,8,3,Carroll University,Tennis
2007,Women,7.5,3,Carroll University,Basketball
2007,Women,3,8,Carroll University,Swimming & Diving
2007,Women,9,2,Carroll University,Track & Field (Indoor)
2007,Women,9,2,Carroll University,Track & Field (Outdoor)
2007,Women,74.5,2,Carroll University,Total
2007,Women,4,7,Grinnell College,Volleyball
2007,Women,7,4,Grinnell College,Soccer
2007,Women,10,1,Grinnell College,Cross Country
2007,Women,10,1,Grinnell College,Tennis
2007,Women,4.5,6,Grinnell College,Basketball
2007,Women,10,1,Grinnell College,Swimming & Diving
2007,Women,7,4,Grinnell College,Track & Field (Indoor)
2007,Women,6,5,Grinnell College,Track & Field (Outdoor)
2007,Women,68,4,Grinnell College,Total
2007,Women,2,9,Illinois College,Volleyball
2007,Women,2,9,Illinois College,Soccer
2007,Women,1,10,Illinois College,Cross Country
2007,Women,1,10,Illinois College,Tennis
2007,Women,4.5,6,Illinois College,Basketball
2007,Women,1,10,Illinois College,Swimming & Diving
2007,Women,5,6,Illinois College,Track & Field (Indoor)
2007,Women,4,7,Illinois College,Track & Field (Outdoor)
2007,Women,36,9,Illinois College,Total
2007,Women,1,10,Knox College,Volleyball
2007,Women,1,10,Knox College,Soccer
2007,Women,2,9,Knox College,Cross Country
2007,Women,2,9,Knox College,Tennis
2007,Women,1.5,9,Knox College,Basketball
2007,Women,2,9,Knox College,Swimming & Diving
2007,Women,2,9,Knox College,Track & Field (Indoor)
2007,Women,2,9,Knox College,Track & Field (Outdoor)
2007,Women,24,10,Knox College,Total
2007,Women,5,6,Lake Forest College,Volleyball
2007,Women,8,3,Lake Forest College,Soccer
2007,Women,3,8,Lake Forest College,Cross Country
2007,Women,7,4,Lake Forest College,Tennis
2007,Women,9,2,Lake Forest College,Basketball
2007,Women,5,6,Lake Forest College,Swimming & Diving
2007,Women,46,7,Lake Forest College,Total
2007,Women,3,8,Lawrence University,Volleyball
2007,Women,4,7,Lawrence University,Soccer
2007,Women,5,6,Lawrence University,Cross Country
2007,Women,5,6,Lawrence University,Tennis
2007,Women,1.5,9,Lawrence University,Basketball
2007,Women,9,2,Lawrence University,Swimming & Diving
2007,Women,4,7,Lawrence University,Track & Field (Indoor)
2007,Women,3,8,Lawrence University,Track & Field (Outdoor)
2007,Women,38,8,Lawrence University,Total
2007,Women,7,3,Monmouth College,Volleyball
2007,Women,6,5,Monmouth College,Soccer
2007,Women,6,5,Monmouth College,Cross Country
2007,Women,4,7,Monmouth College,Tennis
2007,Women,6,5,Monmouth College,Basketball
2007,Women,6,5,Monmouth College,Swimming & Diving
2007,Women,10,1,Monmouth College,Track & Field (Indoor)
2007,Women,10,1,Monmouth College,Track & Field (Outdoor)
2007,Women,69,3,Monmouth College,Total
2007,Women,7,3,Ripon College,Volleyball
2007,Women,3,8,Ripon College,Soccer
2007,Women,4,7,Ripon College,Cross Country
2007,Women,3,8,Ripon College,Tennis
2007,Women,3,8,Ripon College,Basketball
2007,Women,8,3,Ripon College,Swimming & Diving
2007,Women,3,8,Ripon College,Track & Field (Indoor)
2007,Women,5,6,Ripon College,Track & Field (Outdoor)
2007,Women,51,6,Ripon College,Total
2007,Women,9.5,1,St. Norbert College,Volleyball
2007,Women,9,2,St. Norbert College,Soccer
2007,Women,8,3,St. Norbert College,Cross Country
2007,Women,9,2,St. Norbert College,Tennis
2007,Women,10,1,St. Norbert College,Basketball
2007,Women,4,7,St. Norbert College,Swimming & Diving
2007,Women,8,3,St. Norbert College,Track & Field (Indoor)
2007,Women,8,3,St. Norbert College,Track & Field (Outdoor)
2007,Women,81.5,1,St. Norbert College,Total
2008,Men,5.5,5,Beloit College,Football
2008,Men,6,5,Beloit College,Soccer
2008,Men,6,5,Beloit College,Cross Country
2008,Men,1.5,9,Beloit College,Basketball
2008,Men,3,8,Beloit College,Swimming & Diving
2008,Men,4,7,Beloit College,Track & Field (Indoor)
2008,Men,1,10,Beloit College,Tennis
2008,Men,4,7,Beloit College,Track & Field (Outdoor)
2008,Men,10,1,Beloit College,Baseball
2008,Men,43,8,Beloit College,Total
2008,Men,7,4,Carroll University,Football
2008,Men,10,1,Carroll University,Soccer
2008,Men,5,6,Carroll University,Cross Country
2008,Men,7.5,3,Carroll University,Basketball
2008,Men,5,6,Carroll University,Swimming & Diving
2008,Men,8,3,Carroll University,Track & Field (Indoor)
2008,Men,5,6,Carroll University,Tennis
2008,Men,7.5,3,Carroll University,Track & Field (Outdoor)
2008,Men,2,9,Carroll University,Baseball
2008,Men,65,4,Carroll University,Total
2008,Men,2.5,8,Grinnell College,Football
2008,Men,8,3,Grinnell College,Soccer
2008,Men,10,1,Grinnell College,Cross Country
2008,Men,9.5,1,Grinnell College,Basketball
2008,Men,10,1,Grinnell College,Swimming & Diving
2008,Men,6,5,Grinnell College,Track & Field (Indoor)
2008,Men,10,1,Grinnell College,Tennis
2008,Men,7.5,3,Grinnell College,Track & Field (Outdoor)
2008,Men,7,4,Grinnell College,Baseball
2008,Men,77,2,Grinnell College,Total
2008,Men,5.5,5,Illinois College,Football
2008,Men,4,7,Illinois College,Soccer
2008,Men,3,8,Illinois College,Cross Country
2008,Men,6,5,Illinois College,Basketball
2008,Men,2,9,Illinois College,Swimming & Diving
2008,Men,9,2,Illinois College,Track & Field (Indoor)
2008,Men,2,9,Illinois College,Tennis
2008,Men,9,2,Illinois College,Track & Field (Outdoor)
2008,Men,3.5,7,Illinois College,Baseball
2008,Men,58,5,Illinois College,Total
2008,Men,2.5,8,Knox College,Football
2008,Men,1,10,Knox College,Soccer
2008,Men,1,10,Knox College,Cross Country
2008,Men,1.5,9,Knox College,Basketball
2008,Men,4,7,Knox College,Swimming & Diving
2008,Men,3,8,Knox College,Track & Field (Indoor)
2008,Men,3,8,Knox College,Tennis
2008,Men,3,8,Knox College,Track & Field (Outdoor)
2008,Men,5.5,5,Knox College,Baseball
2008,Men,31,9,Knox College,Total
2008,Men,4,7,Lake Forest College,Football
2008,Men,5,6,Lake Forest College,Soccer
2008,Men,2,9,Lake Forest College,Cross Country
2008,Men,5,6,Lake Forest College,Basketball
2008,Men,6,5,Lake Forest College,Swimming & Diving
2008,Men,6,5,Lake Forest College,Tennis
2008,Men,27,10,Lake Forest College,Total
2008,Men,1,10,Lawrence University,Football
2008,Men,7,4,Lawrence University,Soccer
2008,Men,4,7,Lawrence University,Cross Country
2008,Men,9.5,1,Lawrence University,Basketball
2008,Men,8,3,Lawrence University,Swimming & Diving
2008,Men,2,9,Lawrence University,Track & Field (Indoor)
2008,Men,8,3,Lawrence University,Tennis
2008,Men,2,9,Lawrence University,Track & Field (Outdoor)
2008,Men,3.5,7,Lawrence University,Baseball
2008,Men,48,7,Lawrence University,Total
2008,Men,10,1,Monmouth College,Football
2008,Men,3,8,Monmouth College,Soccer
2008,Men,8,3,Monmouth College,Cross Country
2008,Men,3,8,Monmouth College,Basketball
2008,Men,9,2,Monmouth College,Swimming & Diving
2008,Men,10,1,Monmouth College,Track & Field (Indoor)
2008,Men,9,2,Monmouth College,Tennis
2008,Men,10,1,Monmouth College,Track & Field (Outdoor)
2008,Men,8,3,Monmouth College,Baseball
2008,Men,80,1,Monmouth College,Total
2008,Men,9,2,Ripon College,Football
2008,Men,2,9,Ripon College,Soccer
2008,Men,7,4,Ripon College,Cross Country
2008,Men,5,6,Ripon College,Basketball
2008,Men,7,4,Ripon College,Swimming & Diving
2008,Men,5,6,Ripon College,Track & Field (Indoor)
2008,Men,4,7,Ripon College,Tennis
2008,Men,5,6,Ripon College,Track & Field (Outdoor)
2008,Men,5.5,5,Ripon College,Baseball
2008,Men,54.5,6,Ripon College,Total
2008,Men,8,3,St. Norbert College,Football
2008,Men,9,2,St. Norbert College,Soccer
2008,Men,9,2,St. Norbert College,Cross Country
2008,Men,7.5,3,St. Norbert College,Basketball
2008,Men,7,4,St. Norbert College,Track & Field (Indoor)
2008,Men,7,4,St. Norbert College,Tennis
2008,Men,6,5,St. Norbert College,Track & Field (Outdoor)
2008,Men,9,2,St. Norbert College,Baseball
2008,Men,71.5,3,St. Norbert College,Total
2008,Women,9,2,Beloit College,Volleyball
2008,Women,3.5,7,Beloit College,Soccer
2008,Women,5,6,Beloit College,Cross Country
2008,Women,7.5,3,Beloit College,Basketball
2008,Women,4,7,Beloit College,Swimming & Diving
2008,Women,4.5,6,Beloit College,Track & Field (Indoor)
2008,Women,6,5,Beloit College,Tennis
2008,Women,4,7,Beloit College,Track & Field (Outdoor)
2008,Women,45,6,Beloit College,Total
2008,Women,4,7,Carroll University,Volleyball
2008,Women,9,2,Carroll University,Soccer
2008,Women,9,2,Carroll University,Cross Country
2008,Women,4,7,Carroll University,Basketball
2008,Women,7,4,Carroll University,Swimming & Diving
2008,Women,9,2,Carroll University,Track & Field (Indoor)
2008,Women,5,6,Carroll University,Tennis
2008,Women,9,2,Carroll University,Track & Field (Outdoor)
2008,Women,67.5,3,Carroll University,Total
2008,Women,2.5,8,Grinnell College,Volleyball
2008,Women,7.5,3,Grinnell College,Soccer
2008,Women,7.5,3,Grinnell College,Cross Country
2008,Women,2.5,8,Grinnell College,Basketball
2008,Women,10,1,Grinnell College,Swimming & Diving
2008,Women,3,8,Grinnell College,Track & Field (Indoor)
2008,Women,10,1,Grinnell College,Tennis
2008,Women,6,5,Grinnell College,Track & Field (Outdoor)
2008,Women,61.5,5,Grinnell College,Total
2008,Women,6.5,4,Illinois College,Volleyball
2008,Women,1,10,Illinois College,Soccer
2008,Women,1,10,Illinois College,Cross Country
2008,Women,7.5,3,Illinois College,Basketball
2008,Women,1,10,Illinois College,Swimming & Diving
2008,Women,4.5,6,Illinois College,Track & Field (Indoor)
2008,Women,1,10,Illinois College,Tennis
2008,Women,5,6,Illinois College,Track & Field (Outdoor)
2008,Women,43,8,Illinois College,Total
2008,Women,2.5,8,Knox College,Volleyball
2008,Women,2,9,Knox College,Soccer
2008,Women,2,9,Knox College,Cross Country
2008,Women,2.5,8,Knox College,Basketball
2008,Women,3,8,Knox College,Swimming & Diving
2008,Women,2,9,Knox College,Track & Field (Indoor)
2008,Women,2.5,8,Knox College,Tennis
2008,Women,3,8,Knox College,Track & Field (Outdoor)
2008,Women,26,10,Knox College,Total
2008,Women,5,6,Lake Forest College,Volleyball
2008,Women,7.5,3,Lake Forest College,Soccer
2008,Women,3,8,Lake Forest College,Cross Country
2008,Women,5.5,5,Lake Forest College,Basketball
2008,Women,8,3,Lake Forest College,Swimming & Diving
2008,Women,4,7,Lake Forest College,Tennis
2008,Women,41,9,Lake Forest College,Total
2008,Women,1,10,Lawrence University,Volleyball
2008,Women,6,5,Lawrence University,Soccer
2008,Women,4,7,Lawrence University,Cross Country
2008,Women,1,10,Lawrence University,Basketball
2008,Women,9,2,Lawrence University,Swimming & Diving
2008,Women,6,5,Lawrence University,Track & Field (Indoor)
2008,Women,9,2,Lawrence University,Tennis
2008,Women,2,9,Lawrence University,Track & Field (Outdoor)
2008,Women,43.5,7,Lawrence University,Total
2008,Women,6.5,4,Monmouth College,Volleyball
2008,Women,5,6,Monmouth College,Soccer
2008,Women,10,1,Monmouth College,Cross Country
2008,Women,5.5,5,Monmouth College,Basketball
2008,Women,6,5,Monmouth College,Swimming & Diving
2008,Women,10,1,Monmouth College,Track & Field (Indoor)
2008,Women,8,3,Monmouth College,Tennis
2008,Women,10,1,Monmouth College,Track & Field (Outdoor)
2008,Women,74,2,Monmouth College,Total
2008,Women,8,3,Ripon College,Volleyball
2008,Women,3.5,7,Ripon College,Soccer
2008,Women,6,5,Ripon College,Cross Country
2008,Women,10,1,Ripon College,Basketball
2008,Women,5,6,Ripon College,Swimming & Diving
2008,Women,7,4,Ripon College,Track & Field (Indoor)
2008,Women,2.5,8,Ripon College,Tennis
2008,Women,7,4,Ripon College,Track & Field (Outdoor)
2008,Women,65,4,Ripon College,Total
2008,Women,10,1,St. Norbert College,Volleyball
2008,Women,10,1,St. Norbert College,Soccer
2008,Women,7.5,3,St. Norbert College,Cross Country
2008,Women,9,2,St. Norbert College,Basketball
2008,Women,2,9,St. Norbert College,Swimming & Diving
2008,Women,8,3,St. Norbert College,Track & Field (Indoor)
2008,Women,7,4,St. Norbert College,Tennis
2008,Women,8,3,St. Norbert College,Track & Field (Outdoor)
2008,Women,75.5,1,St. Norbert College,Total
2009,Men,6,4,Beloit College,Football
2009,Men,7,4,Beloit College,Soccer
2009,Men,6,5,Beloit College,Cross Country
2009,Men,3.5,7,Beloit College,Basketball
2009,Men,5,6,Beloit College,Swimming & Diving
2009,Men,2,9,Beloit College,Track & Field (Indoor)
2009,Men,1,10,Beloit College,Tennis
2009,Men,4,7,Beloit College,Track & Field (Outdoor)
2009,Men,5.5,5,Beloit College,Baseball
2009,Men,42,7,Beloit College,Total
2009,Men,6,4,Carroll University,Football
2009,Men,10,1,Carroll University,Soccer
2009,Men,4,7,Carroll University,Cross Country
2009,Men,7.5,3,Carroll University,Basketball
2009,Men,6,5,Carroll University,Swimming & Diving
2009,Men,8,3,Carroll University,Track & Field (Indoor)
2009,Men,6,5,Carroll University,Tennis
2009,Men,9,2,Carroll University,Track & Field (Outdoor)
2009,Men,3.5,7,Carroll University,Baseball
2009,Men,69,3,Carroll University,Total
2009,Men,3.5,7,Grinnell College,Football
2009,Men,9,2,Grinnell College,Soccer
2009,Men,10,1,Grinnell College,Cross Country
2009,Men,3.5,7,Grinnell College,Basketball
2009,Men,10,1,Grinnell College,Swimming & Diving
2009,Men,5,6,Grinnell College,Track & Field (Indoor)
2009,Men,10,1,Grinnell College,Tennis
2009,Men,8,3,Grinnell College,Track & Field (Outdoor)
2009,Men,9,2,Grinnell College,Baseball
2009,Men,74,1,Grinnell College,Total
2009,Men,6,4,Illinois College,Football
2009,Men,6,5,Illinois College,Soccer
2009,Men,2,9,Illinois College,Cross Country
2009,Men,5.5,5,Illinois College,Basketball
2009,Men,2,9,Illinois College,Swimming & Diving
2009,Men,6,5,Illinois College,Track & Field (Indoor)
2009,Men,2,9,Illinois College,Tennis
2009,Men,5,6,Illinois College,Track & Field (Outdoor)
2009,Men,7,4,Illinois College,Baseball
2009,Men,48.5,6,Illinois College,Total
2009,Men,1.5,9,Knox College,Football
2009,Men,1,10,Knox College,Soccer
2009,Men,3,8,Knox College,Cross Country
2009,Men,1,10,Knox College,Basketball
2009,Men,3,8,Knox College,Swimming & Diving
2009,Men,4,7,Knox College,Track & Field (Indoor)
2009,Men,4,7,Knox College,Tennis
2009,Men,3,8,Knox College,Track & Field (Outdoor)
2009,Men,3.5,7,Knox College,Baseball
2009,Men,32,10,Knox College,Total
2009,Men,3.5,7,Lake Forest College,Football
2009,Men,4,7,Lake Forest College,Soccer
2009,Men,1,10,Lake Forest College,Cross Country
2009,Men,9,2,Lake Forest College,Basketball
2009,Men,9,2,Lake Forest College,Swimming & Diving
2009,Men,9,2,Lake Forest College,Tennis
2009,Men,35.5,9,Lake Forest College,Total
2009,Men,1.5,9,Lawrence University,Football
2009,Men,3,8,Lawrence University,Soccer
2009,Men,5,6,Lawrence University,Cross Country
2009,Men,5.5,5,Lawrence University,Basketball
2009,Men,7,4,Lawrence University,Swimming & Diving
2009,Men,3,8,Lawrence University,Track & Field (Indoor)
2009,Men,8,3,Lawrence University,Tennis
2009,Men,2,9,Lawrence University,Track & Field (Outdoor)
