Year,Sport,Gender,Scores,Rank,School
2003,Cross Country,Men,6,5,Ripon College
2003,Basketball,Men,5,6,Ripon College
2003,Swimming,Men,7,4,Ripon College
2003,Indoor Track & Field,Men,7,3,Ripon College
2003,Tennis,Men,9,2,Ripon College
2003,Baseball,Men,10,1,Ripon College
2003,Outdoor Track & Field,Men,7,4,Ripon College
2003,Total,Men,66.5,3,Ripon College
2003,Football,Men,10,1,St. Norbert College
2003,Soccer,Men,10,1,St. Norbert College
2003,Cross Country,Men,9,2,St. Norbert College
2003,Basketball,Men,6,5,St. Norbert College
2003,Indoor Track & Field,Men,9,1,St. Norbert College
2003,Tennis,Men,8,3,St. Norbert College
2003,Baseball,Men,7.5,3,St. Norbert College
2003,Outdoor Track & Field,Men,9,2,St. Norbert College
2003,Total,Men,75.5,1,St. Norbert College
2003,Volleyball,Women,7,4,Beloit College
2003,Soccer,Women,4,7,Beloit College
2003,Cross Country,Women,7,4,Beloit College
2003,Tennis,Women,5,6,Beloit College
2003,Basketball,Women,4,7,Beloit College
2003,Swimming,Women,6,5,Beloit College
2003,Indoor Track & Field,Women,8,3,Beloit College
2003,Softball,Women,3.5,7,Beloit College
2003,Outdoor Track & Field,Women,9,2,Beloit College
2003,Total,Women,57.5,4,Beloit College
2003,Volleyball,Women,9,2,Carroll University
2003,Soccer,Women,7,4,Carroll University
2003,Cross Country,Women,6,5,Carroll University
2003,Tennis,Women,7,4,Carroll University
2003,Basketball,Women,5.5,5,Carroll University
2003,Swimming,Women,5,6,Carroll University
2003,Indoor Track & Field,Women,9,2,Carroll University
2003,Softball,Women,1.5,9,Carroll University
2003,Outdoor Track & Field,Women,10,1,Carroll University
2003,Total,Women,66,2,Carroll University
2003,Volleyball,Women,3.5,7,Grinnell College
2003,Soccer,Women,10,1,Grinnell College
2003,Cross Country,Women,8,3,Grinnell College
2003,Tennis,Women,9,2,Grinnell College
2003,Basketball,Women,7.5,3,Grinnell College
2003,Swimming,Women,10,1,Grinnell College
2003,Indoor Track & Field,Women,6.5,4,Grinnell College
2003,Softball,Women,1.5,9,Grinnell College
2003,Outdoor Track & Field,Women,3,8,Grinnell College
2003,Total,Women,62,3,Grinnell College
2003,Volleyball,Women,6,5,Illinois College
